Year,Precipitation
1500,1.165319965
1501,0.437705796
1502,-0.328008407
1503,0.455028592
1504,1.1095741
1505,0.373707693
1506,1.387346245
1507,1.489586635
1508,-1.128770573
1509,-0.330045251
1510,-1.463980899
1511,-1.59817516
1512,-1.382796864
1513,-2.180721332
1514,-0.867757935
1515,-2.040927378
1516,-0.981064794
1517,-0.275620513
1518,-0.659267239
1519,-0.092540624
1520,-0.080880677
1521,0.227390239
1522,-0.275994527
1523,-0.290680861
1524,-0.650149026
1525,-0.273108282
1526,-0.368848492
1527,-0.447235406
1528,-1.348684798
1529,0.037798335
1530,0.153600698
1531,0.224642062
1532,-0.427440177
1533,0.344134062
1534,1.078007647
1535,-0.046124798
1536,-0.392082293
1537,0.928308395
1538,-0.056868752
1539,-0.46503977
1540,-1.64371745
1541,-1.024759378
1542,-0.029561828
1543,-1.113557619
1544,0.423010746
1545,0.666558395
1546,0.949433278
1547,1.667746528
1548,0.837473997
1549,1.643078704
1550,0.890153153
1551,1.869046394
1552,0.67253482
1553,1.221554891
1554,1.010248755
1555,0.775030382
1556,0.916140372
1557,0.720218257
1558,-0.347856418
1559,-0.421079318
1560,1.248634366
1561,0.101236456
1562,0.085817054
1563,0.336316897
1564,-1.769534099
1565,-2.21809254
1566,-1.084219215
1567,0.109379766
1568,-0.561165082
1569,-1.013713581
1570,-1.532282151
1571,-1.681754818
1572,0.656329846
1573,-0.555575466
1574,-0.192507139
1575,-0.346569544
1576,-0.394944124
1577,-0.042155873
1578,0.933598239
1579,0.197522628
1580,0.125894677
1581,0.066590924
1582,0.067550133
1583,-0.064394201
1584,0.284654105
1585,-1.051398292
1586,-1.822909514
1587,-0.482123377
1588,0.484835312
1589,0.96246509
1590,-0.937232307
1591,-0.682051102
1592,0.924937433
1593,0.2453008
1594,0.067085047
1595,-0.688117484
1596,0.547274821
1597,0.241793615
1598,0.325113247
1599,0.086968346
1600,-1.447446261
1601,0.00333313
1602,0.699207107
1603,0.30284223
1604,1.608153545
1605,1.305937299
1606,1.058082314
1607,-0.07479273
1608,-0.696449008
1609,-0.434978695
1610,0.448313473
1611,0.107457508
1612,0.481792025
1613,-0.250847732
1614,-0.699736305
1615,0.318121397
1616,0.881564375
1617,0.550964501
1618,0.050120233
1619,-0.111804261
1620,0.987255068
1621,0.328207881
1622,0.03339272
1623,0.624462787
1624,-0.842235937
1625,-0.436238061
1626,0.35493678
1627,-0.40458099
1628,-0.114782582
1629,-0.313073953
1630,-1.931354994
1631,-0.472643258
1632,0.182705123
1633,0.289308315
1634,0.329246245
1635,0.234165538
1636,0.351559476
1637,0.734906145
1638,0.285430082
1639,-0.717481412
1640,-0.389327347
1641,0.30010957
1642,-1.567670474
1643,-0.585049242
1644,1.230307813
1645,0.969135912
1646,-0.90366837
1647,-1.484504605
1648,-0.493209774
1649,-1.318499665
1650,-0.243745008
1651,0.569317333
1652,-0.679560421
1653,-0.640611187
1654,-1.889692134
1655,-2.462182853
1656,-0.82911572
1657,0.283303402
1658,-0.849864744
1659,-0.061935241
1660,-0.353196229
1661,1.06342461
1662,-0.049458021
1663,-0.363980451
1664,-0.946676026
1665,-1.037760235
1666,-2.918700539
1667,-1.94935366
1668,0.01083029
1669,-1.209142916
1670,-0.708813877
1671,0.102612349
1672,-0.349023637
1673,0.29774753
1674,-1.045995798
1675,0.515251642
1676,-1.58315478
1677,-0.70982583
1678,0.752494947
1679,-0.039348867
1680,0.864926378
1681,-0.136053456
1682,1.239377428
1683,1.165670589
1684,0.347733301
1685,1.263492483
1686,1.249430004
1687,1.016886765
1688,1.176196405
1689,1.610014316
1690,0.72106073
1691,1.108025144
1692,0.797472454
1693,1.498760449
1694,0.173722505
1695,1.767111183
1696,-0.875029392
1697,-0.260311923
1698,0.56673391
1699,0.470216956
1700,0.343748594
1701,0.435939541
1702,0.015365213
1703,-0.505732199
1704,-0.027268297
1705,-0.148268519
1706,0.858883694
1707,-0.074977062
1708,0.93209464
1709,-1.089594074
1710,-0.891092945
1711,-0.659809744
1712,0.670609064
1713,0.417631451
1714,0.906909265
1715,1.808805373
1716,2.069145927
1717,1.749954487
1718,1.036511989
1719,1.060787739
1720,0.376118133
1721,-0.992009819
1722,0.595537734
1723,1.608296227
1724,1.416567178
1725,1.215424717
1726,1.120901356
1727,0.8224874
1728,-0.478911363
1729,0.153550183
1730,0.28960352
1731,2.113726817
1732,1.879480707
1733,1.130033168
1734,1.757105721
1735,0.839478012
1736,0.907467689
1737,1.033478067
1738,-0.033049334
1739,0.037488423
1740,-0.169875804
1741,0.103986317
1742,0.989660051
1743,-0.254602546
1744,-1.428914334
1745,-0.131625256
1746,-1.145264056
1747,0.343556302
1748,0.204124534
1749,1.44780472
1750,1.192672084
1751,0.23343708
1752,0.729716601
1753,0.972474206
1754,2.609573228
1755,0.312799405
1756,-0.821505189
1757,-0.565398175
1758,-2.968304603
1759,-1.605862302
1760,0.026991353
1761,-0.056775129
1762,1.877790242
1763,0.436597674
1764,-0.353361996
1765,-1.31015457
1766,0.839457141
1767,-0.599544771
1768,-1.036604312
1769,-0.409718575
1770,1.000921738
1771,0.769200743
1772,1.612368702
1773,0.282985618
1774,0.51705877
1775,-0.670317215
1776,1.501532145
1777,0.581625631
1778,-2.585050959
1779,0.815430519
1780,0.278847665
1781,0.652176586
1782,1.099030102
1783,1.145172699
1784,1.540238376
1785,0.491412473
1786,-0.148143532
1787,0.270027374
1788,-2.280134634
1789,1.163748802
1790,-0.362720318
1791,-1.107712278
1792,0.706934991
1793,-0.265928502
1794,-1.326126121
1795,-0.088676388
1796,-1.907013717
1797,-0.827674715
1798,-0.799345843
1799,-0.106021345
1800,-1.679518456
1801,-1.075763498
1802,-1.76381285
1803,0.243284369
1804,1.610919224
1805,1.023132575
1806,0.38384641
1807,0.732149849
1808,-0.351333329
1809,0.359769565
1810,1.335701119
1811,0.584094865
1812,-0.428828436
1813,0.980579185
1814,0.52945127
1815,-1.873234792
1816,1.391423094
