model_code,pcc,vd
IMD_1901.1,0.03787918733609084,0.3469843790776657
IMD_1901.3,0.3928388937195659,0.30898404858041534
IMD_1901.5,0.27081376930184103,0.2384745404965805
IMD_1901.7,0.20681254640436483,0.12593891480039826
IMD_1902.1,0.3226006120531051,0.035999117072981035
IMD_1902.3,0.285393814898193,0.17511469346626457
IMD_1902.5,0.20880500520193912,0.045961020168226396
IMD_1902.7,0.29418808180943984,0.22057521564109978
IMD_1903.1,-0.090283672013953,0.14979775814222562
IMD_1903.3,-0.1852009599662372,0.10593207744764555
IMD_1903.5,-0.09907262810549577,0.3660529461305069
IMD_1903.7,-0.05458265602922,0.011712273637525916
IMD_1904.1,0.05581149397402195,0.36988629997406286
IMD_1904.3,0.16492998038977744,0.40084450543556494
IMD_1904.5,-0.10962471789177418,0.41928755343590063
IMD_1904.7,0.19142806281930613,0.3006214410129575
IMD_1905.1,0.38636687366414896,0.09693432928060752
IMD_1905.3,0.3135436884348122,0.30833269239401084
IMD_1905.5,0.04480725139923153,0.34157787679696816
IMD_1905.7,0.2646254453279636,0.5119458544347213
IMD_1906.1,0.33401441927333864,0.2599566510604583
IMD_1906.3,0.23841909336976683,0.25700189980733024
IMD_1906.5,0.11948210641884023,0.10581853303181754
IMD_1906.7,-0.014916148522001989,0.24527563962208854
IMD_1907.1,0.11030431987675204,0.4458258662998834
IMD_1907.3,0.032798296827395594,0.5550321479022661
IMD_1907.5,0.21773881913790066,0.21606985374094634
IMD_1907.7,0.0950936222793792,0.13670275254847197
IMD_1908.1,0.08168957206603905,0.7017735351434466
IMD_1908.3,-0.1270853420577199,0.7123808373323199
IMD_1908.5,0.35376338752064657,0.9911027659288165
IMD_1908.7,0.3112371674467698,0.5145206858030078
IMD_1909.1,0.17396261227010945,0.31680954753520685
IMD_1909.3,0.19858300263049092,0.4003553813612719
IMD_1909.5,0.08470642064092952,0.31859798490169244
IMD_1909.7,0.27326504324196094,0.4175597554362078
IMD_1910.1,0.27597261837446024,0.43430078754224666
IMD_1910.3,0.1632107146322704,0.05415361395082585
IMD_1910.5,0.22370532739523794,0.35197604427137263
IMD_1910.7,0.14256707221572562,0.2602744924088489
IMD_1911.1,0.533894169100061,0.20052274039138251
IMD_1911.3,0.11392174351537301,0.2858995991026252
IMD_1911.5,0.12182592410502459,0.6113444315468162
IMD_1911.7,0.4604312930846046,0.3072449164663642
IMD_1912.1,0.22983978636301033,0.12863920695111092
IMD_1912.3,0.15790276285251897,0.05399279362484749
IMD_1912.5,0.26843330149462374,0.2976789779119187
IMD_1912.7,0.17269914439054046,0.07579378849789437
IMD_1913.1,0.0011968635026946926,0.5201890177670008
IMD_1913.3,-0.025476409946864544,0.5584104366245752
IMD_1913.5,-0.07780087078570903,0.5117362446728235
IMD_1913.7,0.11819908226230119,0.5829561210814005
IMD_1914.1,0.10892739479909934,0.48048204841225595
IMD_1914.3,0.18457643312463004,0.6759015052220151
IMD_1914.5,0.2606066425344607,0.4797572261294648
IMD_1914.7,0.3301051351268319,0.29158600332348794
IMD_1915.1,0.1353003466445821,0.49137228583219683
IMD_1915.3,0.10931692909551344,0.5191378877055947
IMD_1915.5,0.398834628445137,0.8180962190521065
IMD_1915.7,0.29726677094404164,0.3696174309146706
IMD_1916.1,0.16579060744283144,0.7779171890276092
IMD_1916.3,-0.04864022322410327,0.19855923481980142
IMD_1916.5,0.12492963299782266,0.032662342272194
IMD_1916.7,0.0008074008482091007,0.09729171820679483
IMD_1917.1,-0.3163812367717612,0.9705863366232701
IMD_1917.3,-0.1248207333762538,0.3070121178732701
IMD_1917.5,-0.1878933510482849,0.05738993786708635
IMD_1917.7,-0.20863673321152312,0.6014234790907689
IMD_1918.1,0.4974885316640127,0.6216113347450263
IMD_1918.3,0.44922524566677857,0.45249459928665225
IMD_1918.5,0.3281961269729043,0.7839773226419455
IMD_1918.7,0.37788463193078503,0.4836609143653876
IMD_1919.1,0.004136102171608942,0.3974431818290797
