# Haltiahovi.Lake_Lehmilampi.2007
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeLehmilampi.Haltia-Hovi.2007.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/8661
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: lake sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Haltiahovi.Lake_Lehmilampi.2007
#------------------
# Investigators
#     Investigators: Haltiahovi, E;Saarinen, T;Kukkonen, M
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Haltiahovi, E;Saarinen, T;Kukkonen, M
#     Published_Date_or_Year: 2007
#     Published_Title: A 2000-year record of solar forcing on varved lake sediment in eastern Finland
#     Journal_Name: Quaternary Science Reviews
#     Volume: 26
#     Edition: 
#     Issue: 
#     Pages: 678-689
#     Report: 
#     DOI: 10.1016/j.quascirev.2006.11.005
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lake Lehmilampi
#     Location: 
#     Country: 
#     Northernmost_Latitude: 63.62
#     Southernmost_Latitude: 63.62
#     Easternmost_Longitude: 29.1
#     Westernmost_Longitude: 29.1
#     Elevation: 95
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1.0
#     Most_Recent_Year: 1800.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , lake sediment, ,,N,   
##thickness	,,,mm, -12 1 2 3, lake sediment, ,,, ; climateInterpretation_seasonality changed - was originally 12 1 2 3;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           thickness	
1.0	-1.3	
2.0	-0.84	
3.0	-0.43	
4.0	-0.69	
5.0	-0.51	
6.0	-0.51	
7.0	-0.56	
8.0	-1.02	
9.0	-0.89	
10.0	-0.64	
11.0	-0.58	
12.0	-0.56	
13.0	-0.46	
14.0	-0.64	
15.0	-1.12	
16.0	-0.74	
17.0	-0.51	
18.0	-0.94	
19.0	-0.61	
20.0	-0.84	
21.0	-0.79	
22.0	-0.71	
23.0	-0.74	
24.0	-0.71	
25.0	-1.07	
26.0	-0.86	
27.0	-0.71	
28.0	-0.81	
29.0	-0.84	
30.0	-0.51	
31.0	-0.74	
32.0	-0.94	
33.0	-0.74	
34.0	-0.71	
35.0	-0.53	
36.0	-0.74	
37.0	-0.56	
38.0	-0.43	
39.0	-0.69	
40.0	-0.61	
41.0	-0.81	
42.0	-0.71	
43.0	-0.61	
44.0	-0.61	
45.0	-0.61	
46.0	-0.84	
47.0	-0.71	
48.0	-1.22	
49.0	-0.76	
50.0	-0.84	
51.0	-1.24	
52.0	-2.01	
53.0	-1.52	
54.0	-2.13	
55.0	-1.91	
56.0	-1.52	
57.0	-1.19	
58.0	-1.07	
59.0	-0.84	
60.0	-0.86	
61.0	-0.89	
62.0	-0.89	
63.0	-0.86	
64.0	-0.81	
65.0	-1.07	
66.0	-0.89	
67.0	-1.42	
68.0	-0.53	
69.0	-0.61	
70.0	-0.99	
71.0	-0.71	
72.0	-0.58	
73.0	-0.51	
74.0	-1.12	
75.0	-1.17	
76.0	-1.68	
77.0	-1.14	
78.0	-1.09	
79.0	-0.61	
80.0	-0.61	
81.0	-0.84	
82.0	-0.89	
83.0	-0.48	
84.0	-0.69	
85.0	-0.36	
86.0	-0.64	
87.0	-1.19	
88.0	-0.86	
89.0	-0.89	
90.0	-0.61	
91.0	-0.74	
92.0	-1.37	
93.0	-0.71	
94.0	-0.53	
95.0	-0.69	
96.0	-0.56	
97.0	-1.57	
98.0	-1.52	
99.0	-0.79	
100.0	-0.53	
101.0	-0.53	
102.0	-0.79	
103.0	-0.64	
104.0	-0.56	
105.0	-0.81	
106.0	-0.76	
107.0	-0.71	
108.0	-0.71	
109.0	-0.76	
110.0	-0.76	
111.0	-0.84	
112.0	-0.71	
113.0	-0.84	
114.0	-0.51	
115.0	-0.51	
116.0	-0.89	
117.0	-0.81	
118.0	-0.76	
119.0	-0.64	
120.0	-0.51	
121.0	-1.12	
122.0	-0.53	
123.0	-0.66	
124.0	-0.56	
125.0	-0.48	
126.0	-0.61	
127.0	-0.66	
128.0	-0.71	
129.0	-0.51	
130.0	-1.45	
131.0	-0.74	
132.0	-0.69	
133.0	-0.71	
134.0	-0.76	
135.0	-0.46	
136.0	-0.58	
137.0	-0.33	
138.0	-0.79	
139.0	-0.64	
140.0	-0.64	
141.0	-0.64	
142.0	-0.61	
143.0	-0.46	
144.0	-0.46	
145.0	-2.24	
146.0	-1.09	
147.0	-0.61	
148.0	-1.02	
149.0	-1.17	
150.0	-1.09	
151.0	-0.79	
152.0	-1.47	
153.0	-1.14	
154.0	-1.32	
155.0	-1.17	
156.0	-1.07	
157.0	-0.58	
158.0	-0.69	
159.0	-1.04	
