# Büntgen.Lötschental.2006
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-Ltschental.Bntgen.2006.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-Ltschental.Bntgen.2006.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/1003401
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Büntgen.Lötschental.2006
#------------------
# Investigators
#     Investigators: Büntgen, Ulf;Frank, David C.;Nievergelt, Daniel;Esper, Jan
#------------------
# Description_Notes_and_Keywords
#     Description: Instrumental measurements from high- (low-) elevation grid boxes back to 1818 (1760) reveal strongest growth response to current-year June_September mean temperatures. The reconstruction correlates at 0.7 with high-elevation temperatures back to 1818 with a greater signal in the higher-frequency domain (r 0.8).
#------------------
# Publication
#     Authors: Büntgen, Ulf;Frank, David C.;Nievergelt, Daniel;Esper, Jan
#     Published_Date_or_Year: 2006
#     Published_Title: Summer temperature variations in the European Alps, A.D. 755–2004
#     Journal_Name: Journal of Climate
#     Volume: 19
#     Edition: 
#     Issue: 
#     Pages: 5606-5623
#     Report: 
#     DOI: 10.1175/JCLI3917.1
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lötschental
#     Location: 
#     Country: 
#     Northernmost_Latitude: 46.4
#     Southernmost_Latitude: 46.4
#     Easternmost_Longitude: 7.8
#     Westernmost_Longitude: 7.8
#     Elevation: 1700
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 755.0
#     Most_Recent_Year: 2004.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##MXD	,,,NA, summer, tree, ,,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           MXD	
923.0	-0.451	
924.0	0.458	
925.0	0.003	
926.0	0.782	
927.0	-0.075	
928.0	0.6	
929.0	-0.036	
930.0	-0.386	
931.0	0.146	
932.0	-0.919	
933.0	0.341	
934.0	-0.309	
935.0	-0.477	
936.0	-0.244	
937.0	-0.166	
938.0	-0.815	
939.0	-1.659	
940.0	-2.088	
941.0	-0.802	
942.0	-1.179	
943.0	-1.698	
944.0	1.445	
945.0	0.133	
946.0	0.12	
947.0	-1.581	
948.0	0.834	
949.0	0.172	
950.0	-0.075	
951.0	-0.14	
952.0	-1.218	
953.0	-0.893	
954.0	-0.088	
955.0	0.302	
956.0	0.25	
957.0	0.367	
958.0	-0.412	
959.0	-0.412	
960.0	-0.27	
961.0	0.133	
962.0	0.263	
963.0	-0.374	
964.0	0.159	
965.0	0.782	
966.0	0.133	
967.0	0.198	
968.0	0.73	
969.0	-0.101	
970.0	1.743	
971.0	0.562	
972.0	0.678	
973.0	-1.438	
974.0	0.263	
975.0	-0.361	
976.0	-1.153	
977.0	0.263	
978.0	0.51	
979.0	0.912	
980.0	0.769	
981.0	1.146	
982.0	1.081	
983.0	0.107	
984.0	0.393	
985.0	-0.309	
986.0	-0.218	
987.0	0.081	
988.0	0.574	
989.0	-0.335	
990.0	-0.464	
991.0	-0.127	
992.0	0.99	
993.0	0.977	
994.0	-0.451	
995.0	0.341	
996.0	-2.698	
997.0	-1.205	
998.0	0.276	
999.0	-1.334	
1000.0	-1.633	
1001.0	-1.516	
1002.0	0.237	
1003.0	-1.529	
1004.0	-1.906	
1005.0	-0.529	
1006.0	-0.374	
1007.0	-0.984	
1008.0	0.484	
1009.0	0.574	
1010.0	-1.633	
1011.0	-0.724	
1012.0	-1.516	
1013.0	-1.049	
1014.0	-0.659	
1015.0	0.795	
1016.0	-0.646	
1017.0	-1.205	
1018.0	0.38	
1019.0	0.73	
1020.0	-0.425	
1021.0	-1.088	
1022.0	-1.477	
1023.0	-0.724	
1024.0	-1.958	
1025.0	-0.348	
1026.0	0.146	
1027.0	-0.555	
1028.0	0.094	
1029.0	-2.542	
1030.0	-1.815	
1031.0	0.211	
1032.0	-2.763	
1033.0	-0.828	
1034.0	-2.971	
1035.0	-1.049	
1036.0	-2.023	
1037.0	-1.815	
1038.0	-0.932	
1039.0	0.068	
1040.0	-2.997	
1041.0	-0.581	
1042.0	-1.62	
1043.0	-1.854	
1044.0	0.237	
1045.0	-1.503	
1046.0	-3.932	
1047.0	-3.789	
1048.0	-3.49	
1049.0	-2.088	
1050.0	-0.192	
1051.0	-3.412	
1052.0	-2.685	
1053.0	-1.386	
1054.0	-2.75	
1055.0	-2.633	
1056.0	-2.542	
1057.0	-1.257	
1058.0	-0.127	
1059.0	-0.386	
1060.0	0.302	
1061.0	-1.542	
1062.0	-2.568	
1063.0	-2.971	
1064.0	-1.062	
1065.0	-0.672	
1066.0	0.497	
1067.0	-1.685	
1068.0	-1.919	
1069.0	-2.828	
1070.0	0.808	
1071.0	-0.867	
1072.0	-2.594	
1073.0	-2.205	
1074.0	-2.464	
1075.0	-0.425	
1076.0	-1.789	
1077.0	-1.179	
1078.0	0.172	
1079.0	-0.659	
1080.0	-1.789	
1081.0	-2.321	
1082.0	-2.464	
1083.0	-2.334	
1084.0	-0.322	
1085.0	-0.348	
1086.0	-0.361	
1087.0	-0.023	
1088.0	-1.737	
1089.0	-1.296	
1090.0	-1.932	
1091.0	-0.374	
1092.0	0.432	
1093.0	-0.386	
1094.0	0.562	
1095.0	0.003	
1096.0	-0.646	
1097.0	0.133	
1098.0	-1.283	
1099.0	-1.36	
1100.0	-0.594	
1101.0	-0.815	
1102.0	-0.127	
1103.0	-0.386	
1104.0	-0.919	
1105.0	0.393	
1106.0	-0.49	
1107.0	-2.75	
1108.0	-2.867	
1109.0	-1.984	
1110.0	-0.828	
1111.0	-1.153	
1112.0	-1.711	
1113.0	-2.412	
1114.0	-1.724	
1115.0	0.743	
1116.0	-0.997	
1117.0	-3.023	
1118.0	-1.828	
1119.0	-1.062	
1120.0	-1.01	
1121.0	-0.516	
1122.0	-0.971	
1123.0	-0.802	
1124.0	-0.893	
1125.0	-2.568	
1126.0	-0.14	
1127.0	-2.88	
1128.0	-1.334	
1129.0	-0.932	
1130.0	0.146	
1131.0	-0.438	
1132.0	-0.607	
1133.0	-0.724	
1134.0	-0.607	
1135.0	-0.88	
1136.0	-0.425	
1137.0	-0.542	
1138.0	-0.309	
1139.0	1.535	
1140.0	-0.062	
1141.0	-0.036	
1142.0	-0.244	
1143.0	0.341	
1144.0	-1.893	
1145.0	0.977	
1146.0	-0.01	
1147.0	-0.815	
1148.0	-0.971	
1149.0	-0.257	
1150.0	0.626	
1151.0	-1.88	
1152.0	-0.815	
1153.0	1.237	
1154.0	-1.205	
1155.0	0.172	
1156.0	-0.036	
1157.0	-0.023	
1158.0	0.289	
1159.0	0.743	
1160.0	0.652	
1161.0	0.808	
1162.0	0.328	
1163.0	-0.477	
1164.0	-0.412	
1165.0	0.951	
1166.0	0.691	
1167.0	0.38	
1168.0	0.678	
1169.0	-0.231	
1170.0	0.536	
1171.0	-0.335	
1172.0	-0.802	
1173.0	-0.607	
1174.0	-1.62	
1175.0	-0.205	
1176.0	0.055	
1177.0	-0.283	
1178.0	-1.412	
1179.0	-0.789	
1180.0	-1.023	
1181.0	-1.971	
1182.0	-1.893	
1183.0	-1.153	
1184.0	-0.958	
1185.0	-1.062	
1186.0	-1.386	
1187.0	-0.374	
1188.0	-0.971	
1189.0	-1.296	
1190.0	-1.334	
1191.0	-0.763	
1192.0	-1.841	
1193.0	-1.036	
1194.0	0.107	
1195.0	-0.438	
1196.0	0.081	
1197.0	-0.062	
1198.0	0.289	
1199.0	0.665	
1200.0	0.328	
1201.0	0.523	
1202.0	0.847	
1203.0	1.068	
1204.0	0.912	
1205.0	0.821	
1206.0	0.756	
1207.0	0.016	
1208.0	0.977	
1209.0	0.328	
1210.0	-0.296	
1211.0	0.432	
1212.0	0.912	
1213.0	0.458	
1214.0	0.626	
1215.0	-0.023	
1216.0	0.549	
1217.0	-0.153	
1218.0	0.587	
1219.0	0.133	
1220.0	0.834	
1221.0	0.639	
1222.0	0.185	
1223.0	0.146	
1224.0	0.094	
1225.0	0.678	
1226.0	0.769	
1227.0	-0.114	
1228.0	0.003	
1229.0	-0.62	
1230.0	-0.205	
1231.0	-0.386	
1232.0	-0.166	
1233.0	-0.399	
1234.0	0.237	
1235.0	-0.14	
1236.0	-0.166	
1237.0	-0.581	
1238.0	-0.114	
1239.0	-0.283	
1240.0	-0.088	
1241.0	0.094	
1242.0	-0.309	
1243.0	-0.399	
1244.0	-0.036	
1245.0	0.133	
1246.0	0.574	
1247.0	0.613	
1248.0	-0.01	
1249.0	-0.503	
1250.0	0.12	
1251.0	0.406	
1252.0	-0.257	
1253.0	0.289	
1254.0	-0.555	
1255.0	0.029	
1256.0	-0.776	
1257.0	-1.386	
1258.0	-1.529	
1259.0	-0.399	
1260.0	-0.568	
1261.0	-0.062	
1262.0	0.315	
1263.0	-0.205	
1264.0	-0.27	
1265.0	-0.529	
1266.0	-0.166	
1267.0	-0.244	
1268.0	-0.231	
1269.0	-0.062	
1270.0	-0.231	
1271.0	-0.166	
1272.0	0.315	
1273.0	0.574	
1274.0	0.289	
1275.0	-0.218	
1276.0	-0.049	
1277.0	0.471	
1278.0	0.393	
1279.0	1.003	
1280.0	0.354	
1281.0	-0.062	
1282.0	-0.14	
1283.0	0.471	
1284.0	0.341	
1285.0	0.341	
1286.0	0.367	
1287.0	0.198	
1288.0	0.107	
1289.0	-0.14	
1290.0	-1.257	
1291.0	-0.023	
1292.0	-0.893	
1293.0	-0.231	
1294.0	-0.971	
1295.0	-0.815	
1296.0	-0.685	
1297.0	-0.49	
1298.0	-0.309	
1299.0	-0.594	
1300.0	-0.101	
1301.0	-0.646	
1302.0	-1.62	
1303.0	-0.646	
1304.0	0.042	
1305.0	-0.711	
1306.0	-0.101	
1307.0	-0.88	
1308.0	-0.218	
1309.0	-0.322	
1310.0	-0.984	
1311.0	-0.477	
1312.0	-1.438	
1313.0	-1.192	
1314.0	-1.114	
1315.0	-1.685	
1316.0	-0.542	
1317.0	-1.127	
1318.0	-0.932	
1319.0	-1.205	
1320.0	-2.568	
1321.0	-0.828	
1322.0	-1.529	
1323.0	-0.893	
1324.0	-0.646	
1325.0	-0.374	
1326.0	-1.296	
1327.0	-2.516	
1328.0	-1.62	
1329.0	-1.529	
1330.0	-2.101	
1331.0	-2.023	
1332.0	-0.257	
1333.0	0.094	
1334.0	-0.361	
1335.0	-1.257	
1336.0	-0.412	
1337.0	-0.867	
1338.0	-0.49	
1339.0	-0.335	
1340.0	-0.27	
1341.0	-0.724	
1342.0	-0.698	
1343.0	-0.568	
1344.0	0.042	
1345.0	-1.101	
1346.0	-1.192	
1347.0	-0.932	
1348.0	-0.776	
1349.0	-0.542	
1350.0	-1.906	
