# 
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/NAm-EagleFecalPtarmiganMerge.Jacoby.2011-3.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/NAm-EagleFecalPtarmiganMerge.Jacoby.2011.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/12577
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: 
#------------------
# Investigators
#     Investigators: Jacoby, G.C.
#------------------
# Description_Notes_and_Keywords
#     Description: Low-freq goes inverse of the observed temperature record after the 50s. Elevation estimated from GoogleEarth; rounded to 100 m
#------------------
# Publication
#     Authors: Jacoby, G.C.
#     Published_Date_or_Year: 
#     Published_Title: World Data Center for Paleoclimatology
#     Journal_Name: 
#     Volume: 
#     Edition: 
#     Issue: 
#     Pages: 
#     Report: 
#     DOI: 
#     Online_Resource: https://www.ncdc.noaa.gov/paleo/study/12577
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Eagle Fecal/Ptarmigan Merge
#     Location: 
#     Country: 
#     Northernmost_Latitude: 69.5
#     Southernmost_Latitude: 69.5
#     Easternmost_Longitude: -127.8
#     Westernmost_Longitude: -127.8
#     Elevation: 500
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1550.0
#     Most_Recent_Year: 1993.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: PCGL
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##MXD	,,,NA, summer, tree, ,,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           MXD	
1550.0	0.963	
1551.0	1.032	
1552.0	1.008	
1553.0	1.04	
1554.0	1.029	
1555.0	1.016	
1556.0	0.993	
1557.0	0.9	
1558.0	1.025	
1559.0	0.981	
1560.0	1.091	
1561.0	0.967	
1562.0	0.945	
1563.0	1.06	
1564.0	1.049	
1565.0	1.067	
1566.0	1.012	
1567.0	1.069	
1568.0	0.907	
1569.0	1.002	
1570.0	1.116	
1571.0	0.983	
1572.0	0.977	
1573.0	1.027	
1574.0	1.008	
1575.0	1.071	
1576.0	1.104	
1577.0	0.987	
1578.0	0.976	
1579.0	1.085	
1580.0	0.957	
1581.0	0.936	
1582.0	1.007	
1583.0	1.06	
1584.0	1.071	
1585.0	0.86	
1586.0	1.061	
1587.0	1.056	
1588.0	1.018	
1589.0	1.118	
1590.0	1.086	
1591.0	0.885	
1592.0	0.84	
1593.0	0.975	
1594.0	0.985	
1595.0	0.963	
1596.0	0.98	
1597.0	0.994	
1598.0	0.949	
1599.0	1.091	
1600.0	0.97	
1601.0	0.951	
1602.0	1.063	
1603.0	0.957	
1604.0	0.993	
1605.0	0.843	
1606.0	0.919	
1607.0	0.931	
1608.0	1.014	
1609.0	0.891	
1610.0	1.091	
1611.0	1.104	
1612.0	1.036	
1613.0	1.006	
1614.0	1.033	
1615.0	0.943	
1616.0	0.991	
1617.0	0.976	
1618.0	1.031	
1619.0	0.931	
1620.0	0.857	
1621.0	0.998	
1622.0	1.005	
1623.0	0.954	
1624.0	0.961	
1625.0	0.998	
1626.0	1.021	
1627.0	0.948	
1628.0	1.001	
1629.0	0.971	
1630.0	1.015	
1631.0	0.971	
1632.0	0.96	
1633.0	1.05	
1634.0	1.035	
1635.0	0.991	
1636.0	1.026	
1637.0	1.08	
1638.0	1.053	
1639.0	0.991	
1640.0	1.06	
1641.0	0.745	
1642.0	0.882	
1643.0	0.972	
1644.0	1.01	
1645.0	0.985	
1646.0	0.97	
1647.0	1.034	
1648.0	1.039	
1649.0	0.955	
1650.0	1.064	
1651.0	1.01	
1652.0	0.93	
1653.0	0.951	
1654.0	0.961	
1655.0	1.007	
1656.0	1.044	
1657.0	1.072	
1658.0	1.035	
1659.0	1.08	
1660.0	1.051	
1661.0	1.015	
1662.0	1.016	
1663.0	0.893	
1664.0	1.011	
1665.0	0.929	
1666.0	1.066	
1667.0	0.908	
1668.0	1.039	
1669.0	1.068	
1670.0	0.965	
1671.0	1.001	
1672.0	0.938	
1673.0	1.017	
1674.0	0.916	
1675.0	1.003	
1676.0	1.012	
1677.0	0.803	
1678.0	1.053	
1679.0	0.859	
1680.0	0.965	
1681.0	0.933	
1682.0	1.03	
1683.0	1.061	
1684.0	1.022	
1685.0	0.917	
1686.0	1.05	
1687.0	1.007	
1688.0	1.079	
1689.0	0.911	
1690.0	0.789	
1691.0	1.033	
1692.0	1.062	
1693.0	0.902	
1694.0	1.006	
1695.0	0.938	
1696.0	0.983	
1697.0	0.978	
1698.0	0.97	
1699.0	0.742	
1700.0	0.977	
