# Alibert2008_Papua
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-NewIrelandPapua.Alibert.2008.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-NewIrelandPapua.Alibert.2008.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/8604
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Alibert2008_Papua
#------------------
# Investigators
#     Investigators: Alibert, C.; Ocean2k
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Alibert, Chantal;Kinsley, Leslie
#     Published_Date_or_Year: 2008
#     Published_Title: A 170-year Sr/Ca and Ba/Ca coral record from the western Pacific warm pool: 2. A window into variability of the New Ireland Coastal Undercurrent
#     Journal_Name: Journal of Geophysical Research
#     Volume: 113
#     Edition: 
#     Issue: C6
#     Pages: 226-252
#     Report: 
#     DOI: 10.1029/2007JC004263
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Tierney, Jessica E.;Abram, Nerilie J.;Anchukaitis, Kevin J.;Evans, Michael N.;Giry, Cyril;Kilbourne, K. Halimeda;Saenger, Casey P.;Wu, Henry C.;Zinke, Jens
#     Published_Date_or_Year: 2015
#     Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#     Journal_Name: Paleoceanography
#     Volume: 30
#     Edition: 
#     Issue: 3
#     Pages: 226-252
#     Report: 
#     DOI: 10.1002/2014PA002717
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: New Ireland, Papua
#     Location: 
#     Country: 
#     Northernmost_Latitude: -2.5
#     Southernmost_Latitude: -2.5
#     Easternmost_Longitude: 150.5
#     Westernmost_Longitude: 150.5
#     Elevation: -8
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1823.0833
#     Most_Recent_Year: 1997.25
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Porites
#     Species_Code: NA
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##Sr_Ca	,,,mmol/mol, N/A (subannually resolved), coral, ,,, ; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally monthly; paleoData_variableName changed - was originally Sr_Ca;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           Sr_Ca	
1997.25	8.6	
1997.1667	8.69	
1997.0833	8.71	
1997.0	8.74	
1996.9167	8.83	
1996.8333	8.81	
1996.75	8.75	
1996.6667	8.74	
1996.5833	8.74	
1996.5	8.78	
1996.4167	8.81	
1996.3333	8.86	
1996.25	8.88	
1996.1667	8.83	
1996.0833	8.75	
1996.0	8.73	
1995.9167	8.78	
1995.8333	8.95	
1995.75	8.84	
1995.6667	8.85	
1995.5833	8.77	
1995.5	8.74	
1995.4167	8.86	
1995.3333	8.78	
1995.25	8.7	
1995.1667	8.72	
1995.0833	8.8	
1995.0	8.85	
1994.9167	8.91	
1994.8333	8.82	
1994.75	8.82	
1994.6667	8.89	
1994.5833	8.86	
1994.5	8.85	
1994.4167	8.82	
1994.3333	8.79	
1994.25	8.79	
1994.1667	8.73	
1994.0833	8.82	
1994.0	8.92	
1993.9167	8.88	
1993.8333	8.83	
1993.75	8.79	
1993.6667	8.93	
1993.5833	8.9	
1993.5	8.85	
1993.4167	8.82	
1993.3333	8.87	
1993.25	8.86	
1993.1667	8.78	
1993.0833	8.71	
1993.0	8.7	
1992.9167	8.67	
1992.8333	8.85	
1992.75	8.92	
1992.6667	8.87	
1992.5833	8.89	
1992.5	8.77	
1992.4167	8.84	
1992.3333	8.9	
1992.25	8.77	
1992.1667	8.74	
1992.0833	8.7	
1992.0	8.93	
1991.9167	8.95	
1991.8333	8.91	
1991.75	8.75	
1991.6667	8.8	
1991.5833	8.95	
1991.5	8.94	
1991.4167	8.8	
1991.3333	8.68	
1991.25	8.69	
1991.1667	8.74	
1991.0833	8.85	
1991.0	8.76	
1990.9167	8.75	
1990.8333	8.81	
1990.75	8.8	
1990.6667	8.74	
1990.5833	8.88	
1990.5	8.84	
1990.4167	8.83	
1990.3333	8.97	
1990.25	8.86	
1990.1667	8.74	
1990.0833	8.86	
1990.0	9.03	
1989.9167	8.87	
1989.8333	8.87	
1989.75	8.84	
1989.6667	8.71	
1989.5833	8.75	
1989.5	8.91	
1989.4167	8.8	
1989.3333	8.72	
1989.25	8.82	
1989.1667	8.81	
1989.0833	8.78	
1989.0	8.87	
1988.9167	8.92	
1988.8333	8.9	
1988.75	8.9	
1988.6667	9.0	
1988.5833	9.06	
1988.5	8.87	
1988.4167	8.76	
1988.3333	8.94	
1988.25	8.89	
1988.1667	8.93	
1988.0833	8.91	
1988.0	8.73	
1987.9167	8.75	
1987.8333	8.83	
1987.75	8.9	
1987.6667	8.97	
1987.5833	9.06	
1987.5	9.03	
1987.4167	9.05	
1987.3333	8.88	
1987.25	8.98	
1987.1667	9.02	
1987.0833	9.08	
1987.0	9.09	
1986.9167	8.85	
1986.8333	8.71	
1986.75	8.78	
1986.6667	8.89	
1986.5833	8.82	
1986.5	8.81	
1986.4167	8.83	
1986.3333	8.73	
1986.25	8.76	
1986.1667	8.76	
1986.0833	8.83	
1986.0	8.75	
1985.9167	8.89	
1985.8333	8.95	
1985.75	8.99	
1985.6667	8.95	
1985.5833	8.87	
1985.5	8.81	
1985.4167	8.74	
1985.3333	8.83	
1985.25	8.73	
1985.1667	8.76	
1985.0833	8.67	
1985.0	8.65	
1984.9167	8.65	
1984.8333	8.72	
1984.75	8.82	
1984.6667	8.8	
1984.5833	8.83	
1984.5	8.82	
1984.4167	8.68	
1984.3333	8.62	
1984.25	8.64	
1984.1667	8.66	
1984.0833	8.67	
1984.0	8.66	
1983.9167	8.64	
1983.8333	8.72	
1983.75	8.71	
1983.6667	8.74	
1983.5833	8.83	
1983.5	8.76	
1983.4167	8.71	
1983.3333	8.78	
1983.25	8.76	
1983.1667	8.84	
1983.0833	8.8	
1983.0	8.78	
1982.9167	8.75	
1982.8333	8.91	
1982.75	9.06	
1982.6667	9.07	
1982.5833	9.3	
1982.5	9.31	
1982.4167	9.0	
