# 1200 years of warm-season temperature variability in central Fennoscandia inferred from tree-ring
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-Jamtland.Wilson.2016.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-Jamtland.Wilson.2016.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/19743
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: 1200 years of warm-season temperature variability in central Fennoscandia inferred from tree-ring
#------------------
# Investigators
#     Investigators: Zhang, P., Linderholm, H., Gunnarson, B., Björklund, J., Chen, D.,
#------------------
# Description_Notes_and_Keywords
#     Description: MXD chronology from 8 sampling sites
#------------------
# Publication
#     Authors: Zhang, Peng;Linderholm, Hans W.;Gunnarson, Björn E.;Björklund, Jesper;Chen, Deliang
#     Published_Date_or_Year: 2016
#     Published_Title: 1200 years of warm-season temperature variability in central Scandinavia inferred from tree-ring density
#     Journal_Name: Climate of the Past
#     Volume: 12
#     Edition: 
#     Issue: 
#     Pages: 1297-1312
#     Report: 
#     DOI: 10.5194/cp-12-1297-2016
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Jamtland, Sweden
#     Location: 
#     Country: 
#     Northernmost_Latitude: 63.2475
#     Southernmost_Latitude: 63.2475
#     Easternmost_Longitude: 13.3375
#     Westernmost_Longitude: 13.3375
#     Elevation: 650
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 783.0
#     Most_Recent_Year: 2011.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##MXD	tree-ring maximum latewood density, tree ring, ,NA, 4 5 6 7 8 9, tree, ,,N,  ; paleoData_units changed - was originally MXD Z-scores; N/A;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           MXD	
783.0	0.08710426	
784.0	2.816246622	
785.0	3.166560665	
786.0	1.083982107	
787.0	2.258776419	
788.0	0.772008719	
789.0	-0.310380658	
790.0	-0.352032646	
791.0	-0.054679106	
792.0	0.134545874	
793.0	-0.352032646	
794.0	1.756474274	
795.0	0.514099612	
796.0	0.784421012	
797.0	0.366526619	
798.0	-0.038955481	
799.0	-0.914640232	
800.0	-1.388279641	
801.0	-0.732198357	
802.0	-0.873565203	
803.0	-0.130758311	
804.0	-0.874142161	
805.0	-0.238334982	
806.0	-0.766038671	
807.0	-0.522749411	
808.0	0.133331873	
809.0	0.058993488	
810.0	-0.339730577	
811.0	1.173517374	
812.0	0.342279069	
813.0	0.89521193	
814.0	0.404182321	
815.0	-0.189717927	
816.0	-0.216311162	
817.0	0.40623489	
818.0	0.113623905	
819.0	-0.665363893	
820.0	-0.164830397	
821.0	1.006799534	
822.0	0.1692421	
823.0	0.182995368	
824.0	0.570693239	
825.0	0.764660774	
826.0	2.152346117	
827.0	0.616256692	
828.0	-0.005447038	
829.0	-0.041454402	
830.0	0.585008596	
831.0	0.638906658	
832.0	0.134342201	
833.0	0.780599575	
834.0	1.003778545	
835.0	1.341392253	
836.0	0.360863478	
837.0	1.561295783	
838.0	1.082810596	
839.0	0.509644888	
840.0	1.10357633	
841.0	0.999003834	
842.0	0.639868378	
843.0	1.205038929	
844.0	1.87857572	
845.0	2.150705315	
846.0	0.764080918	
847.0	1.470562044	
848.0	1.064952041	
849.0	0.952547506	
850.0	1.620669711	
851.0	0.815580562	
852.0	0.813527022	
853.0	-1.043924996	
854.0	0.122487654	
855.0	0.771200665	
856.0	-0.004839031	
857.0	-0.064476534	
858.0	0.165443429	
859.0	0.477947427	
860.0	0.53977045	
861.0	0.625609905	
862.0	0.538639008	
863.0	1.38123872	
864.0	0.765313613	
865.0	0.367713446	
866.0	2.264156441	
867.0	0.403527683	
868.0	1.363988224	
869.0	2.715230211	
870.0	1.595767787	
871.0	1.392025999	
872.0	1.288936302	
873.0	1.435467617	
874.0	0.124289101	
875.0	0.603649064	
876.0	2.081613729	
877.0	0.895482351	
878.0	1.572699642	
879.0	1.293834463	
880.0	1.856415706	
881.0	0.609286664	
882.0	1.45221151	
883.0	2.19902898	
884.0	0.783304641	
885.0	1.638280062	
886.0	1.622819004	
887.0	1.322095602	
888.0	1.360958523	
889.0	0.575336598	
890.0	2.7581361	
891.0	1.595858755	
892.0	1.943615243	
893.0	-0.050135235	
894.0	0.012347334	
895.0	-0.516500285	
896.0	-1.018489734	
897.0	-0.503286277	
898.0	-0.501781436	
899.0	0.612902909	
900.0	-1.894569026	
901.0	-0.01770129	
902.0	-1.32035288	
903.0	-1.920524048	
904.0	-1.402052371	
905.0	-0.79765876	
906.0	-1.186453281	
907.0	-1.952925589	
908.0	-0.960181731	
909.0	-0.844938312	
910.0	-0.927376043	
911.0	-0.48737126	
912.0	-0.173633411	
913.0	-0.928978704	
914.0	-0.119236673	
915.0	-1.329701174	
916.0	-0.795008607	
917.0	-1.054697431	
918.0	-1.305216003	
919.0	-0.9490161	
920.0	-0.295864784	
921.0	-1.295390259	
922.0	-0.117937542	
923.0	-1.649442818	
924.0	0.373689023	
925.0	-1.031613347	
926.0	0.467395335	
927.0	0.078748867	
928.0	0.998068324	
929.0	0.611503136	
930.0	0.750932543	
931.0	0.863567665	
932.0	0.382992114	
933.0	0.863117963	
934.0	1.515661092	
935.0	1.191822228	
936.0	0.800984955	
937.0	0.238390493	
938.0	0.146094562	
939.0	1.587352621	
940.0	-0.006711671	
941.0	0.981333758	
942.0	0.305809206	
943.0	-0.137923463	
944.0	0.315882232	
945.0	0.779413292	
946.0	1.058947495	
947.0	0.704362025	
948.0	0.098329643	
949.0	0.538032436	
950.0	-0.096507521	
951.0	0.729415583	
952.0	-0.304631778	
953.0	-0.496870872	
954.0	-0.010219104	
955.0	0.643449981	
956.0	0.803563366	
957.0	0.214312912	
958.0	-0.23561917	
959.0	0.265728749	
960.0	0.541353612	
961.0	-1.215527926	
962.0	0.389248916	
963.0	0.834382934	
964.0	0.084727667	
965.0	-0.438172717	
966.0	0.405985077	
967.0	-0.611579862	
968.0	0.413604502	
969.0	1.098180519	
970.0	0.643051899	
971.0	0.216970736	
972.0	1.7882712	
973.0	0.453686086	
974.0	-0.284395566	
975.0	-0.072800479	
976.0	1.056957071	
977.0	0.981869257	
978.0	1.255763701	
979.0	-0.069110728	
980.0	0.931319062	
981.0	-0.422595475	
982.0	1.823427809	
983.0	0.357422451	
984.0	1.064920915	
985.0	0.582386591	
986.0	1.370714023	
987.0	0.256684424	
988.0	1.335618143	
989.0	-0.655496361	
990.0	0.794281182	
991.0	-0.580139575	
992.0	0.236658088	
993.0	0.227984361	
994.0	-0.538173292	
995.0	0.970434118	
996.0	0.006459596	
997.0	0.259386808	
998.0	-0.418123461	
999.0	0.660349747	
1000.0	1.395920683	
1001.0	-0.906194138	
1002.0	0.53560248	
1003.0	-0.403756545	
1004.0	0.568974162	
1005.0	0.934253049	
1006.0	0.647445643	
1007.0	0.201724654	
1008.0	-1.352458138	
1009.0	0.552937012	
1010.0	0.72317556	
1011.0	0.567746866	
1012.0	-1.050761972	
1013.0	0.102250658	
1014.0	-0.214552595	
1015.0	0.245052124	
1016.0	0.652381347	
1017.0	-0.163127707	
1018.0	1.567460018	
1019.0	1.125246136	
1020.0	0.64770821	
1021.0	1.043462316	
1022.0	-0.328750779	
1023.0	0.912880183	
1024.0	-0.525842321	
1025.0	1.282519651	
1026.0	0.590677872	
1027.0	0.555075202	
1028.0	1.160145196	
1029.0	0.690636571	
1030.0	-0.504832225	
1031.0	-0.232683874	
1032.0	0.232401219	
1033.0	-0.906286237	
1034.0	0.941615952	
1035.0	2.009249232	
1036.0	-0.032282335	
1037.0	1.328951359	
1038.0	0.682976597	
1039.0	1.041471546	
1040.0	0.401928548	
1041.0	-0.870322235	
1042.0	0.435702566	
1043.0	-0.241997135	
1044.0	0.165589684	
1045.0	1.48800892	
1046.0	0.368290018	
1047.0	-0.47799188	
1048.0	1.848232667	
1049.0	1.860159505	
1050.0	1.54821042	
1051.0	2.908605183	
1052.0	1.116932844	
1053.0	-0.172611443	
1054.0	1.066356394	
1055.0	0.403940419	
1056.0	0.822568565	
1057.0	0.353158435	
1058.0	2.1776359	
1059.0	0.552185073	
1060.0	2.033910384	
1061.0	2.078281464	
1062.0	1.587989989	
1063.0	0.489218766	
1064.0	0.738070814	
1065.0	1.337875696	
1066.0	0.879084972	
1067.0	-0.016111315	
1068.0	-0.984638361	
1069.0	-0.517966062	
1070.0	0.176408541	
1071.0	0.72549212	
1072.0	-0.580273899	
1073.0	-0.365214026	
1074.0	0.415206561	
1075.0	1.004217999	
1076.0	0.995426611	
1077.0	-0.261565473	
1078.0	0.237929419	
1079.0	0.814526796	
1080.0	0.996420068	
1081.0	0.6242852	
1082.0	0.03317544	
1083.0	0.247066491	
1084.0	1.371592644	
1085.0	-0.148001628	
1086.0	2.387498474	
1087.0	-0.178374249	
1088.0	1.229392113	
1089.0	-0.798455148	
1090.0	0.412863788	
1091.0	1.048956041	
1092.0	2.334011581	
1093.0	0.913299314	
1094.0	-0.426734513	
1095.0	0.248537798	
1096.0	-0.599915851	
1097.0	0.059687126	
1098.0	-0.666411756	
1099.0	0.292437057	
1100.0	0.413912804	
1101.0	1.38416837	
1102.0	1.526939998	
1103.0	2.175636177	
1104.0	1.657189168	
1105.0	0.886726263	
1106.0	1.383735815	
1107.0	-0.204835038	
