# Allen.CTP_West_Tasmania.2001
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Aus-CTPWestTasmania.Allen.2001.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Aus-CTPWestTasmania.Allen.2001.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/1003971
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Allen.CTP_West_Tasmania.2001
#------------------
# Investigators
#     Investigators: Allen, K. J.;Cook, E. R.;Francey, R. J.;Michael, K.
#------------------
# Description_Notes_and_Keywords
#     Description: Composite series, primarily winter T signal. Elevation estimated from GoogleEarth; rounded to 100 m
#------------------
# Publication
#     Authors: Allen, K. J.;Cook, E. R.;Francey, R. J.;Michael, K.
#     Published_Date_or_Year: 2001
#     Published_Title: The climatic response of Phyllocladus aspleniifolius (Labill.) Hook. f in Tasmania
#     Journal_Name: Journal of Biogeography
#     Volume: 28
#     Edition: 
#     Issue: 3
#     Pages: 305-316
#     Report: 
#     DOI: 10.1046/j.1365-2699.2001.00546.x
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: CTP West Tasmania
#     Location: 
#     Country: 
#     Northernmost_Latitude: -41.67
#     Southernmost_Latitude: -41.67
#     Easternmost_Longitude: 145.65
#     Westernmost_Longitude: 145.65
#     Elevation: 550
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1547.0
#     Most_Recent_Year: 1998.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##trsgi	,wood, ,NA, 6 7 8, tree, ,signal free, N,  Composite of WEY; RCS and MUR and LaMarches Pieman site; climateInterpretation_seasonality changed - was originally 12 1 2 3 4 5; N/A;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           trsgi	
1547.0	-0.294	
1548.0	0.183	
1549.0	0.191	
1550.0	-0.447	
1551.0	-0.451	
1552.0	-1.36	
1553.0	-0.566	
1554.0	-0.535	
1555.0	0.195	
1556.0	-0.852	
1557.0	-0.39	
1558.0	-1.716	
1559.0	-0.623	
1560.0	-0.688	
1561.0	-0.443	
1562.0	-0.115	
1563.0	-0.978	
1564.0	-0.642	
1565.0	-0.898	
1566.0	-0.852	
1567.0	0.287	
1568.0	-0.864	
1569.0	-0.084	
1570.0	-1.024	
1571.0	-0.772	
1572.0	-0.199	
1573.0	0.374	
1574.0	-0.653	
1575.0	-0.436	
1576.0	-0.394	
1577.0	0.397	
1578.0	-0.527	
1579.0	0.0	
1580.0	-0.634	
1581.0	0.581	
1582.0	0.703	
1583.0	-0.107	
1584.0	0.134	
1585.0	0.34	
1586.0	-0.86	
1587.0	0.023	
1588.0	-0.764	
1589.0	-0.046	
1590.0	-0.053	
1591.0	-0.447	
1592.0	0.126	
1593.0	-0.81	
1594.0	0.68	
1595.0	-0.413	
1596.0	0.382	
1597.0	-0.294	
1598.0	-0.034	
1599.0	-0.241	
1600.0	0.191	
1601.0	0.604	
1602.0	-0.352	
1603.0	-0.279	
1604.0	1.032	
1605.0	-0.306	
1606.0	-0.237	
1607.0	0.092	
1608.0	-0.726	
1609.0	0.409	
1610.0	-0.126	
1611.0	0.386	
1612.0	1.001	
1613.0	-0.428	
1614.0	0.321	
1615.0	0.753	
1616.0	0.466	
1617.0	0.313	
1618.0	0.459	
1619.0	-0.206	
1620.0	0.741	
1621.0	-0.038	
1622.0	0.822	
1623.0	-0.55	
1624.0	1.15	
1625.0	-0.352	
1626.0	-0.302	
1627.0	-0.29	
1628.0	-0.332	
1629.0	0.833	
1630.0	-0.619	
1631.0	0.443	
1632.0	-0.516	
1633.0	0.543	
1634.0	1.07	
1635.0	-0.592	
1636.0	-0.019	
1637.0	-0.241	
1638.0	0.493	
1639.0	0.577	
1640.0	-0.577	
1641.0	0.443	
1642.0	0.963	
1643.0	-0.222	
1644.0	-0.371	
1645.0	0.577	
1646.0	0.149	
1647.0	-0.218	
1648.0	-0.81	
1649.0	0.466	
1650.0	-0.875	
1651.0	0.271	
1652.0	-0.879	
1653.0	0.363	
1654.0	0.21	
1655.0	-0.096	
1656.0	-0.386	
1657.0	0.611	
1658.0	-0.841	
1659.0	-0.011	
1660.0	-1.582	
1661.0	-1.639	
1662.0	-0.779	
1663.0	-0.94	
1664.0	0.585	
1665.0	-0.478	
1666.0	0.145	
1667.0	-0.707	
1668.0	0.902	
1669.0	0.0	
1670.0	0.183	
1671.0	-0.726	
1672.0	0.684	
1673.0	-0.535	
1674.0	0.275	
1675.0	-0.424	
1676.0	0.715	
1677.0	-1.024	
1678.0	-0.336	
1679.0	-0.436	
1680.0	0.596	
1681.0	-0.199	
1682.0	0.546	
1683.0	-0.562	
1684.0	-0.501	
1685.0	0.665	
1686.0	1.479	
1687.0	-1.36	
1688.0	-0.993	
1689.0	-1.742	
1690.0	-0.367	
1691.0	-1.364	
1692.0	0.707	
1693.0	-0.352	
1694.0	0.325	
1695.0	-0.352	
1696.0	-1.284	
1697.0	-0.699	
1698.0	0.092	
1699.0	0.367	
1700.0	-0.176	
1701.0	0.027	
1702.0	-0.898	
1703.0	0.795	
