# Popa.Eastern_Carpathian_Mountains_(Romania).2008
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-EasternCarpathianMountains.Popa.2008.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Eur-EasternCarpathianMountains.Popa.2008.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/study/1003409
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: tree
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Popa.Eastern_Carpathian_Mountains_(Romania).2008
#------------------
# Investigators
#     Investigators: Popa, Ionel;Kern, Zoltán
#------------------
# Description_Notes_and_Keywords
#     Description: Using AD 1901_1950 as the calibration period the Pearson's correlation coefficient between grid data and reconstruction is 0.34 and for verification is 0.47
#------------------
# Publication
#     Authors: Popa, Ionel;Kern, Zoltán
#     Published_Date_or_Year: 2008
#     Published_Title: Long-term summer temperature reconstruction inferred from tree-ring records from the Eastern Carpathians
#     Journal_Name: Climate Dynamics
#     Volume: 32
#     Edition: 
#     Issue: 
#     Pages: 1107-1117
#     Report: 
#     DOI: 10.1007/s00382-008-0439-x
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Eastern Carpathian Mountains (Romania)
#     Location: 
#     Country: 
#     Northernmost_Latitude: 47
#     Southernmost_Latitude: 47
#     Easternmost_Longitude: 25.3
#     Westernmost_Longitude: 25.3
#     Elevation: 1820
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1163.0
#     Most_Recent_Year: 2005.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , tree, ,,N,   
##trsgi	,,,NA, summer, tree, ,,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           trsgi	
1163.0	0.869	
1164.0	0.106	
1165.0	0.869	
1166.0	0.281	
1167.0	0.094	
1168.0	0.24	
1169.0	-0.343	
1170.0	1.475	
1171.0	0.117	
1172.0	-1.269	
1173.0	-0.628	
1174.0	-1.462	
1175.0	-1.06	
1176.0	-1.089	
1177.0	-1.415	
1178.0	-1.765	
1179.0	-0.931	
1180.0	-1.264	
1181.0	-0.524	
1182.0	-0.512	
1183.0	0.694	
1184.0	0.217	
1185.0	0.286	
1186.0	1.866	
1187.0	1.12	
1188.0	1.726	
1189.0	0.706	
1190.0	1.399	
1191.0	0.817	
1192.0	1.248	
1193.0	1.749	
1194.0	1.05	
1195.0	1.831	
1196.0	0.624	
1197.0	1.172	
1198.0	1.586	
1199.0	-0.186	
1200.0	0.718	
1201.0	0.316	
1202.0	0.881	
1203.0	1.277	
1204.0	1.306	
1205.0	-0.244	
1206.0	0.193	
1207.0	-0.081	
1208.0	0.933	
1209.0	0.584	
1210.0	0.729	
1211.0	0.543	
1212.0	0.601	
1213.0	0.083	
1214.0	0.048	
1215.0	-0.827	
1216.0	-0.116	
1217.0	-0.226	
1218.0	-1.13	
1219.0	-0.448	
1220.0	-0.564	
1221.0	0.117	
1222.0	0.613	
1223.0	0.24	
1224.0	-0.681	
1225.0	0.356	
1226.0	-0.232	
1227.0	-0.698	
1228.0	-1.03	
1229.0	-0.302	
1230.0	-0.022	
1231.0	-0.04	
1232.0	0.158	
1233.0	-1.06	
1234.0	0.578	
1235.0	-0.646	
1236.0	-1.019	
1237.0	-0.902	
1238.0	0.298	
1239.0	0.298	
1240.0	0.432	
1241.0	0.624	
1242.0	-0.139	
1243.0	-0.885	
1244.0	-0.867	
1245.0	0.106	
1246.0	-0.593	
1247.0	-0.215	
1248.0	-0.762	
1249.0	0.846	
1250.0	0.217	
1251.0	0.566	
1252.0	1.399	
1253.0	0.986	
1254.0	1.225	
1255.0	0.514	
1256.0	0.502	
1257.0	0.747	
1258.0	-1.223	
1259.0	-0.063	
1260.0	-0.11	
1261.0	-0.436	
1262.0	-0.279	
1263.0	0.251	
1264.0	0.065	
1265.0	-0.389	
1266.0	1.277	
1267.0	0.251	
1268.0	1.009	
1269.0	1.172	
1270.0	0.304	
1271.0	-0.308	
1272.0	0.24	
1273.0	-0.063	
1274.0	-0.226	
1275.0	1.353	
1276.0	0.135	
1277.0	-0.203	
1278.0	-0.896	
1279.0	-0.448	
1280.0	-0.191	
1281.0	-0.634	
1282.0	-1.188	
1283.0	-0.401	
1284.0	-1.572	
1285.0	-0.238	
1286.0	-1.118	
1287.0	-1.596	
1288.0	-0.902	
1289.0	-1.106	
1290.0	-1.124	
1291.0	0.065	
1292.0	-0.524	
1293.0	-1.199	
1294.0	-0.687	
1295.0	-1.345	
1296.0	-1.374	
1297.0	-0.891	
1298.0	-0.593	
1299.0	-0.611	
1300.0	-1.881	
1301.0	-0.366	
1302.0	0.135	
1303.0	-0.663	
1304.0	0.007	
1305.0	-0.372	
1306.0	0.135	
1307.0	0.554	
1308.0	0.665	
1309.0	0.846	
1310.0	0.444	
1311.0	0.531	
1312.0	0.782	
1313.0	0.875	
1314.0	0.444	
1315.0	1.026	
