# Pedro Bank, Jamaica sclerosponge SrCa
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-PedroBankJamaica.Haase-Schramm.2003-2.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-PedroBankJamaica.Haase-Schramm.2003.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/1878
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: sclerosponge
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Pedro Bank, Jamaica sclerosponge SrCa
#------------------
# Investigators
#     Investigators: Haase-Schramm
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Haase-Schramm, Alexandra;Böhm, Florian;Eisenhauer, Anton;Dullo, Wolf-Christian;Joachimski, Michael M.;Hansen, Bent;Reitner, Joachim
#     Published_Date_or_Year: 2003
#     Published_Title: Sr/Ca ratios and oxygen isotopes from sclerosponges: Temperature history of the Caribbean mixed layer and thermocline during the Little Ice Age
#     Journal_Name: Paleoceanography
#     Volume: 18
#     Edition: 
#     Issue: 3
#     Pages: n/a-n/a
#     Report: 
#     DOI: 10.1029/2002PA000830
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Pedro Bank Jamaica
#     Location: 
#     Country: 
#     Northernmost_Latitude: 17.5333
#     Southernmost_Latitude: 17.5333
#     Easternmost_Longitude: -78.95
#     Westernmost_Longitude: -78.95
#     Elevation: -125
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1384.0
#     Most_Recent_Year: 1992.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Ceratoporella,nicholsoni
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , sclerosponge, ,,N,   
##Sr_Ca	,,,mmol/mol, -12 -11 -10 -9 -8 1 2 3 4 5 6 7, sclerosponge, ,,, ; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally -12 -11 -10 -9 -8 1 2 3 4 5 6 7; paleoData_variableName changed - was originally Sr_Ca;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           Sr_Ca	
1992.0	9.479	
1987.0	9.611	
1982.0	9.534	
1979.0	9.714	
1977.0	nan	
1974.0	9.517	
1972.0	nan	
1971.0	9.731	
1967.0	nan	
1963.0	9.565	
1957.0	9.387	
1952.0	9.697	
1950.0	nan	
1948.0	9.897	
1947.0	nan	
1945.0	9.657	
1943.0	9.834	
1939.0	nan	
1934.0	nan	
1930.0	9.654	
1928.0	nan	
1927.0	9.734	
1926.0	nan	
1921.0	9.8	
1918.0	nan	
1913.0	10.062	
1911.0	9.947	
1909.0	9.719	
1905.0	9.66	
1899.0	nan	
1897.0	9.845	
1895.0	9.822	
1891.0	nan	
1890.0	9.742	
1885.0	9.916	
1881.0	9.96	
1875.0	nan	
1870.0	10.097	
1865.0	9.93	
1859.0	9.861	
1854.0	9.898	
1849.0	9.932	
1844.0	nan	
1843.0	9.919	
1837.0	9.891	
1833.0	10.131	
1828.0	9.944	
1823.0	9.91	
1818.0	9.966	
1813.0	10.148	
1808.0	9.923	
1802.0	9.842	
1797.0	10.017	
1791.0	9.969	
1785.0	9.868	
1780.0	9.87	
1774.0	9.8	
1769.0	9.865	
1763.0	9.806	
1758.0	9.8065	
1752.0	9.8825	
1747.0	9.855	
1741.0	9.757	
1736.0	9.8605	
1731.0	9.909	
1727.0	nan	
1726.0	9.77	
1721.0	9.833	
1715.0	9.726	
1709.0	9.874	
1703.0	9.627	
1698.0	9.87	
1693.0	9.817	
1687.0	9.785	
1682.0	9.835	
1676.0	9.817	
1670.0	9.923	
1665.0	9.907	
1661.0	9.872	
1660.0	nan	
1655.0	9.823	
1650.0	9.945	
1645.0	9.921	
1640.0	9.896	
1635.0	9.919	
1629.0	9.861	
1623.0	9.804	
1617.0	9.859	
1612.0	9.87	
1607.0	9.896	
1601.0	9.847	
1596.0	9.724	
1590.0	9.921	
1585.0	9.931	
1579.0	9.944	
1574.0	9.894	
1568.0	9.829	
1564.0	9.819	
1559.0	9.856	
1554.0	10.014	
1550.0	9.96	
1545.0	9.768	
1540.0	9.734	
1534.0	9.821	
1528.0	9.813	
1522.0	9.713	
1516.0	9.7	
1509.0	9.858	
1504.0	9.907	
1498.0	nan	
1497.0	9.88	
1493.0	9.772	
1489.0	9.745	
1487.0	nan	
1482.0	9.853	
1476.0	9.793	
1471.0	9.902	
1466.0	nan	
1463.0	9.671	
1460.0	9.85	
1454.0	9.83	
1448.0	9.911	
1441.0	9.88	
1435.0	nan	
1431.0	9.837	
1427.0	9.967	
1420.0	nan	
1419.0	9.833	
1413.0	9.926	
1405.0	9.88	
1398.0	9.913	
1393.0	9.92	
1389.0	9.858	
1384.0	9.786	
