year,summer_prcp,winter_prcp
1901,6.595992055275769,2.0131954142803665
1902,6.603975225008566,0.8983295261726824
1903,7.49053215393653,2.1706969265819174
1904,7.025508469466835,1.4891827133891768
1905,6.309317831074862,2.440153643245137
1906,7.943690463839672,2.1321502088991187
1907,6.6888969378770184,2.8162764698203007
1908,8.348068617855736,1.0254132962157572
1909,7.64968866268126,1.7122749415024916
1910,8.238036601069188,1.6079211451585362
1911,6.8531713729234625,3.7185454579119153
1912,7.097980656664871,1.6476632920538876
1913,6.866643528237787,1.632570877246957
1914,8.299401769156102,1.8269684067009735
1915,6.8708748226325875,1.8794829292978725
1916,8.783964806904953,1.1822176731334904
1917,9.609137426114165,0.9273379643816996
1918,5.692314756688788,1.6520396973956302
1919,8.576450935362509,2.2720303753690634
1920,6.399377156391693,2.0873051512738585
1921,8.06748423757642,2.4166293483480192
1922,8.255587909707943,1.7550531407550463
1923,7.759564995617074,3.9240368733079225
1924,7.759625220763518,1.950669593538974
1925,7.703089709447598,1.1522214649164213
1926,8.275254319661746,1.9276762040322046
1927,7.707722185588023,1.6433293805406632
1928,6.794791511807441,2.7108798527334868
1929,7.330463805206833,1.2758170267502742
1930,7.581179633731446,2.36283219824749
1931,8.086560126036446,1.6596922995922145
1932,7.315130210949817,1.1819520818788447
1933,8.92062241443774,2.103439673036081
1934,9.015654513686945,1.3948010198509653
1935,7.753615828107502,2.3319674923161284
1936,8.915332587019135,2.573421735659768
1937,7.9991997944304245,2.0262312513812746
1938,8.454208772454447,2.986759069148549
1939,7.245230026219007,2.9725465090366066
1940,7.845026495405244,1.6511643595896965
1941,6.260738673901162,1.4968906278109582
1942,9.231535189916618,2.205688577329459
1943,8.202865256018052,2.4107960170697567
1944,8.652769327761604,1.9589616330841462
1945,8.373871759715394,2.2745103459042024
1946,8.651252312348136,1.5620588611736548
1947,8.2708691706195,1.7166792987052384
1948,8.239900233131578,3.1546343304933737
1949,7.9346099216685415,3.616655143766971
1950,7.573546115942447,4.632368961686728
1951,6.171401349973721,2.2725338473327485
1952,7.404074490760781,2.488821158176585
1953,8.16175480603048,2.2892628445727463
1954,7.7715723157472105,3.5231866980019193
1955,8.662526320283158,1.8297104777238857
1956,8.688368922685477,2.250398309104472
1957,7.069072891296138,2.3364555377163225
1958,8.31925059087118,1.8033022686863414
1959,8.348315995984677,2.892814726434826
1960,7.472919026710697,1.4924628006558438
1961,9.347657904141174,1.9857144235510324
1962,7.254436696216662,1.3043634629130068
1963,7.565244803085941,1.69350169575718
1964,7.9426020339661125,2.214756845231183
1965,5.674438219638583,2.3176042005285384
1966,5.967950667601716,1.8895506323100404
1967,7.910847188652457,1.819214299406646
1968,6.5451975952585295,2.124546559542923
1969,7.897730909300754,1.7576005097069825
1970,8.415296650354321,1.386204386313777
1971,7.961433266214222,1.1031534161118632
1972,5.827860434534355,1.995038265326665
1973,8.41293770215042,2.209641921541729
1974,5.942605239817045,2.2095960551123377
1975,8.818989524248273,2.957941120363312
1976,7.860372815743098,2.578645390663898
1977,7.716986278267052,1.3579875643604833
1978,8.177711112199951,3.074253950014687
1979,5.552445296556042,3.8921852084639634
1980,8.347649108815913,3.474731213237867
1981,7.540952573343973,2.874973464702569
1982,6.625739515487117,4.631053493922618
1983,8.366545103068436,4.203700623668829
1984,7.262475928544925,2.6313808419023346
1985,6.927392880037631,1.6773702581877072
1986,6.977716673479069,3.573998392799783
1987,6.060705916127421,2.618822624472952
1988,8.21365305453181,4.7822302240772485
1989,7.294456746886015,2.6823727356732174
1990,8.579388448706831,4.521568188405842
1991,7.02046593672531,3.533964027626759
1992,7.036865581051471,3.257242602830557
1993,7.41685104680986,4.266493178675536
1994,9.352496428568148,2.7983433797922244
1995,6.918258483451245,3.588165966198731
1996,7.409145567922073,4.437558924524592
1997,7.040704574910631,2.405969537333327
1998,7.016916865631083,2.4815487555792277
1999,7.503137736397123,1.7284639755332056
2000,6.361151444062788,2.0341862763257956
2001,7.5196136973962675,1.1187407107990814
2002,5.8750807294663545,2.7993663303592444
2003,8.294168213321043,2.642764832472348
2004,6.490064534262784,1.2079698195190014
2005,7.439326851911455,6.1295936309693
2006,8.238574116447765,2.72409250402144
2007,7.649479669654491,3.390091272870761
2008,7.8175054321606865,1.644236555411871
2009,5.767284167830632,1.8000813988617825
2010,7.012640739230787,1.4957107328731907
2011,8.083898987776841,3.2140589738142173
2012,7.590421029482141,3.0436414194231927
2013,8.600618842958452,2.3140819885961363
2014,6.3970913194625165,2.71891517224241
2015,6.11284767402909,3.2197778381018294
2016,8.00973645907588,1.6218309867734504
2017,6.5940600600690775,2.2677754786550723
2018,7.03204672330516,0.8471871890205709
2019,8.954034551695415,2.550727734974871
2020,7.797157221788254,2.389139329976402
