,year,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8
43,1983,-0.057210207,0.40337127,0.50901365,-0.30382898,-1.0181438,-0.20486882,-1.4506854,-0.887426
44,1984,-0.0530984,1.5200361,-1.5870094,-1.417886,-0.7702581,0.14015757,-1.2923636,-0.34750912
45,1985,-0.065022334,0.68266225,-1.497614,0.10078629,-1.1740513,-0.9978657,-0.086204566,-0.19303168
46,1986,-0.085504845,0.9878961,-0.35748595,-0.42810714,-0.02372213,-0.7235652,-1.3774447,0.84360176
47,1987,1.1529871,0.93994623,-0.015759887,0.4488394,-0.07914736,1.3929622,1.0446587,-1.0224807
48,1988,1.0354563,0.13869375,-0.27296126,-0.4205074,0.65447676,-0.15678145,0.6797301,-0.7766389
49,1989,0.12726259,1.0345812,-0.8940029,-0.5751183,-0.5824464,-0.39836332,0.6292077,0.77369946
50,1990,0.24715176,-0.44361794,0.08883917,-0.21068422,-1.945064,-1.5506817,-0.53344285,-1.9145849
51,1991,0.47352943,1.1139616,0.36430657,-0.003043711,-1.2952385,0.21735765,0.5045198,-0.10853501
52,1992,0.14454769,1.3134948,-0.19056576,-0.07300382,-0.04214253,-0.44419476,-0.25391594,-0.006635977
53,1993,0.5956422,0.89153504,-0.37393194,-0.4300866,-0.18407111,-0.48163906,1.2373111,-1.2768401
54,1994,0.040839247,0.37063518,0.6848547,0.42316037,-0.80729926,-0.21135731,-0.7934022,-0.28631708
55,1995,0.66206324,0.33941492,-0.14421673,-1.1626564,-0.3571834,0.0695193,-0.42202917,0.09789062
56,1996,0.4020394,0.5209282,-0.78090465,-1.5308661,0.16771182,0.26298046,-0.0374495,0.45356646
57,1997,-0.29037073,0.98334247,2.3387864,2.1141155,-0.8437089,-0.76134247,-1.3455746,0.81546503
58,1998,1.3552086,-0.69235945,0.83791226,-1.5408521,0.3378813,0.25348124,0.72421634,-0.62476754
59,1999,0.53883004,-0.6922804,-1.100286,-0.37647632,-0.95537114,-1.2668333,1.0356528,0.6722967
60,2000,0.6147688,-0.5454336,-1.4634932,-0.32601574,-0.85353357,-0.87007606,0.53327113,0.024947021
61,2001,0.78181905,-0.90667444,-0.8210201,-0.17909032,-0.5835762,-1.5179812,0.2771658,-0.0017402903
62,2002,1.0378649,0.021544669,0.33381867,1.2238971,-0.5867422,-1.1060685,1.673274,-0.2359297
63,2003,1.1902634,0.28117582,0.5911473,-0.077797,-0.30467147,-0.41142672,1.052524,-0.40401262
64,2004,0.8865792,-0.42397204,0.037879102,0.7202126,0.060816996,-0.19946519,1.3367918,-0.89374894
65,2005,1.0178218,-0.37385252,-0.082610354,-0.5649064,-0.6269186,0.5921701,-0.2818265,1.2079619
66,2006,0.7571186,-0.5250823,0.94301486,1.64713,0.4874534,-0.30656525,-0.8106083,0.58072376
67,2007,0.61362815,-1.0464808,0.55238664,0.62396276,0.06360981,0.07344055,-0.22959101,0.51447296
68,2008,0.38956505,-0.49241382,-0.19741517,0.60961264,-0.70972407,0.13447437,-0.8424689,0.71232694
69,2009,1.4094114,0.20353718,0.0921884,0.6203777,-0.6050997,0.88716245,0.6171599,2.0340366
70,2010,1.6521881,-1.1965985,0.33335608,-0.9893067,0.9902213,1.6077648,-0.3237804,-0.760784
71,2011,0.7224014,-0.7429414,0.20682035,0.48238012,-0.07581087,-0.69657147,-0.01430342,0.5342194
72,2012,0.9378342,0.6450092,-0.11310293,-0.21463574,-2.2022586,0.4267618,-0.82685095,1.9979956
73,2013,0.6543261,-1.4987094,0.15889658,-0.38606507,-0.34262893,-1.2150338,-0.77034295,0.27506062
74,2014,0.99291605,-0.044318307,0.39829218,-0.40195453,0.28299716,1.0297365,-0.42462516,0.9607046
75,2015,1.4911722,-0.08315011,1.3686037,1.1911033,-0.07908074,1.5257626,0.093709774,-0.24625392
76,2016,2.0788338,-1.0607147,0.26016814,-0.25393125,-0.13648766,-1.8776261,0.41380185,-0.41802743
77,2017,1.6524116,-0.9755983,-0.17797652,-0.6577663,-0.123702906,-0.43416664,0.21465363,1.4076927
78,2018,1.2517439,-0.45434976,0.039898474,0.60570544,-0.67139006,-0.45422393,0.6566815,0.10616617
79,2019,1.0250275,-0.33607835,2.6608133,1.0769026,0.5748496,0.86273503,-0.7741936,0.43728125
80,2020,1.3460205,-0.98418576,1.6614134,-1.1959748,1.042769,1.6186261,-0.6017773,-0.028336365
81,2021,1.6055034,-1.8333975,0.07722915,-1.1801944,0.07461237,1.1175551,-0.76220447,0.2166362
82,2022,1.374871,-2.0306695,-0.19210242,-1.1186901,1.3134087,-0.3704034,-0.29869223,0.5980551
