geo_meanLon,geo_meanLat,archiveType,seasonality,reference,geo_siteName,pub1_dataUrl,paleoData_TSid,resolution
93.9,38.85,LAK,ANN,He et al. 2013,Sugan Lake,Personal communication,SuganLake2,12.000749504950495
-120.98,37.35,TRE,ANN,Graham and Hughes 2007,Merced River,Personal communication,MercedRiver,1.0
-1.5,52,TRE,ANN,Wilson et al. 2013,Southerncentral England,http://www1.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/europe/england2012precip.txt,SoutherncentralEngland,1.0
110.28,21.15,LAK,ANN,Zeng et al. 2012,Huguangyan Lake,Personal communication,HuguangyanLake,11.997092762745098
-118.17,37.45,TRE,SUM,Hughes and Graumlich 1996,White Mountains,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/nevada/mwkreconfilt.dat,WhiteMountains,1.0
115,38,DOC,ANN,Zheng et al. 2006,North China Plains,Digitized from Fig. 3b,NorthChinaPlains,28.881976190476195
15.72,66.25,LAK,ANN,Berntsson et al. 2014,Lake Vuoksjavratje,Personal communication,LakeVuoksjavratje,5.340833333333333
-94.68,46.97,LAK,ANN,Tian et al. 2006,Steel Lake,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/usa/minnesota/steel2006.txt (inverted values),SteelLake,5.0
-89.67,16.98,LAK,ANN,Rosenmeier et al. 2002,Lake Salpeten,Digitized from Fig 3 (inverted values),Lake_Salpeten,57.31480952380953
-85.88,30.47,TRE,ANN,Stahle et al. 2012,Choctawhatchee_River,http://www.ncdc.noaa.gov/paleo/metadata/noaa-tree-4830.html,Choctawhatchee_River,1.0
-76.62,17.89,LAK,ANN,Burn and Palmer 2014,Grape Tree Pond,Digitized from Fig 5b,GrapeTreePond,2.8328611898016995
-117.15,52.15,TRE,SUM,Edwards et al. 2008,Columbia Icefield,Personal communication,ColumbiaIcefield,10.0
97.38,37.38,TRE,ANN,Yang et al. 2014,Delingha,Personal communication,Delingha,1.0
19.7,47.99,LAK,ANN,Sumegi et al. 2009,NadasLake,Digitized,NadasLake,14.085365853658537
-3.63,57.25,LAK,ANN,Blundell and Barber 2005,ToreHillMoss,Digitized from Fig. 10,ToreHillMoss,27.75
29.75,0.42,LAK,ANN,Russell et al. 2007,Lake Edward,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/eastafrica/edward2007.txt,LakeEdward,3.5140942295522386
-0.72,11.77,POL,ANN,Ngomanda et al. 2007 ,LakeKamalete,Digitized from Fig.7B,LakeKamalete,17.682539682539684
109.1,33.57,SPE,SUM,Cai et al. 2010,Jiuxian Cave,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/speleothem/china/jiuxian2010.txt (inverted values),JiuxianCave,3.5773809523809526
26.25,58.87,OTH,ANN,Sillasoo et al. 2007,Mannikjarve Bog,Personal communication,MannikjarveBog,32.114285714285714
