geo_meanLon,geo_meanLat,archiveType,seasonality,reference,geo_siteName,pub1_dataUrl,paleoData_TSid,resolution
-78.22,34.32,TRE,SUM,Stahle and Cleaveland 1992,North Carolina,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/southusa/seusa.precip,NorthCarolina,1.0
6.47,45.59,LAK,ANN,Giguet-Covex et al. 2011,Lake Anterne,http://doi.pangaea.de/10.1594/PANGAEA.808328,LakeAnterne,0.9991721854304636
-119.56,48.54,LAK,WIN,Steinman et al. 2012,Castor Lake,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/usa/washington/castor-lime2012.txt (inverted values),CastorLake2,5.0
-111.4,35.2,TRE,WIN,Graumlich 1993,Southern Sierra Nevada,http://geography.uoregon.edu/GeogR/data/csv/sierra.csv,SouthernSierraNevada,1.0
-99.125,17.43,SPE,ANN,Lachniet et al. 2012,Juxtlahuaca Cave,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/speleothem/northamerica/mexico/juxtlahuaca2012.txt,JuxtlahuacaCave,1.0
-93.43,49.40,LAK,ANN,Laird et al. 2012,Lake239,Personal communication,Lake239,13.422444444444444
14.27,59.29,OTH,ANN,Borgmark and Wastegard 2008,Fagelmossen 2,Personal communication,Fagelmossen2,11.748869994
99.5,38.5,TRE,ANN,Zhang et al. 2011,Qilian Mountains,Digitized from Fig 6b,Qilian_Mountains,11.388828799999999
115.0,30.00,DOC,ANN,Qian et al. 2003,YangtzeRiver,Digitized from Fig. 7B,YangtzeRiver,4.284552845528455
7.66,51.37,SPE,WIN,Fohlmeister et al. 2012,Bunker Cave,Personal communication (inverted values),BunkerCave,6.674585635359115
-106,38.5,TRE,ANN,Woodhouse et al. 2011,Upper_Arkansas_River_basin,Personal communication,Upper_Arkansas_River_basin,1.0
-118.19,48.78,LAK,WIN,Steinman et al. 2012,RennerLake,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/usa/washington/castor-lime2012.txt,RennerLake,5.0
-7.34,43.32,LAK,ANN,Martinez-Cortizas et al. 1999,Penido Vello,Personal communication,Penido_Vello,43.42857142857143
-89,17,SPE,ANN,Webster et al. 2007,Macal Chasm,Digitized from Fig. 8D,MacalChasm,17.023
-109,35,TRE,WIN,Ni et al. 2002,Southwest USA,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/az-nm_div_precip.txt,SouthwestUSA,1.0
-5,33,SPE,ANN,Wassenburg et al. 2013,Grotte de Piste,Personal communication (inverted values),Grotte_de_Piste,6.025227165803108
-91.91,49.43,LAK,ANN,Laird et al. 2012,Little_Raleigh_Lake,Personal communication,Little_Raleigh_Lake,15.541833333333333
-108.33,40.48,TRE,ANN,Gray et al. 2011,Yampa River,http://treeflow.info/sites/default/files/yampa.txt,YampaRiver,1.0
-149.9,64.42,LAK,ANN,Finney et al. 2012,Dune Lake,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/usa/alaska/dune2012.txt (inverted values),DuneLake,15.550199398701295
-37.32,71.12,ICE,ANN,Andersen et al. 2006,Crete,http://www.iceandclimate.nbi.ku.dk/data/Andersen_etal_2006_Annual_Accumulation_22Mar2011.txt/,Crete,1.0
-121.48,39.54,TRE,ANN,Meko 2001,Feather River,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/california/feather-flow.txt,FeatherRiver,1.0
120,32,DOC,ANN,Jiang et al. 2005,Yangtze Delta,From Table 1,YangtzeDelta,9.523809523809524
126.51,42.21,LAK,ANN,Hong et al. 2005,Hani,Digitized from Fig 3C (inverted values),Hani,35.45454545454545
-110.58,45,LAK,WIN,Stevens et al. 2006,Crevice Lake,Personal communication,CreviceLake,9.632580606451612
13.27,60.21,OTH,ANN,Borgmark and Wastegard 2008,Stomyren,Personal communication,Stomyren,36.580107525806454
-28.33,38.46,LAK,ANN,Bjorck et al. 2006,LakeCaveiro,Personal communication,LakeCaveiro,11.074036697247706
93.25,35.4,LAK,SUM,Liu et al. 2009,Kusai Lake,Personal communication,KusaiLake,12.308080808080808
-70.03,44.28,POL,SUM,Gajewski 1988,Basin_Pond,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/pollen/recons/liadata.txt,basin_Pond,26.363636363636363
54.35,12.59,SPE,ANN,Rampelbergh et al. 2013,Hoq Cave STM6,Personal communication (inverted values),Hoq_Cave_STM6,17.626521739130435
22.78,60.78,LAK,ANN,Vairanta et al. 2007,Kontolanrahka,Digitized from Fig. 6,Kontolanrahka,29.82051282051282
-81.8,31.62,TRE,SUM,Stahle and Cleaveland 1992,Georgia,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/southusa/seusa.precip,Georgia,1.0
