model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
3-nci_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,relu,0.2,0.01,0.18646177416690268,0.5473764505031706
3-nci_L1_100_L2_20_dropout_0.0_testPeriod_1904_1914,1904,1913,100,20,relu,0.0,0.05,0.11339981239891583,0.592104174126044
3-nci_L1_20_L2_5_dropout_0.1_testPeriod_1904_1914,1904,1913,20,5,relu,0.1,0.01,0.3536598377926079,0.7152150848288678
3-nci_L1_50_L2_5_dropout_0.2_testPeriod_1904_1914,1904,1913,50,5,relu,0.2,0.01,0.08697965048011624,0.3533780691104458
3-nci_L1_100_L2_10_dropout_0.2_testPeriod_1906_1916,1906,1915,100,10,linear,0.2,0.001,0.31583746735908236,0.6738418605162914
3-nci_L1_50_L2_5_dropout_0.2_testPeriod_1906_1916,1906,1915,50,5,relu,0.2,0.01,0.27244778779957757,0.3768391057263072
3-nci_L1_100_L2_20_dropout_0.0_testPeriod_1908_1918,1908,1917,100,20,relu,0.0,0.05,0.0037716886412938466,0.4805752334531606
3-nci_L1_100_L2_20_dropout_0.2_testPeriod_1910_1920,1910,1919,100,20,relu,0.2,0.01,0.0038701657025496106,0.3909567106672426
3-nci_L1_100_L2_20_dropout_0.2_testPeriod_1910_1920,1910,1919,100,20,linear,0.2,0.01,0.34401107841710477,0.36400449498907417
3-nci_L1_20_L2_5_dropout_0.1_testPeriod_1910_1920,1910,1919,20,5,relu,0.1,0.01,0.02879822077099392,0.5612239998207099
3-nci_L1_100_L2_20_dropout_0.2_testPeriod_1912_1922,1912,1921,100,20,relu,0.2,0.01,0.5452777484806561,0.592732444924748
3-nci_L1_20_L2_5_dropout_0.1_testPeriod_1912_1922,1912,1921,20,5,relu,0.1,0.01,0.3798034033904759,0.6054110812366109
3-nci_L1_100_L2_10_dropout_0.2_testPeriod_1916_1926,1916,1925,100,10,linear,0.2,0.001,0.25188847363927025,0.4767428044044274
3-nci_L1_100_L2_20_dropout_0.2_testPeriod_1930_1940,1930,1939,100,20,relu,0.2,0.01,0.3806457827723633,0.7559498639802869
3-nci_L1_20_L2_5_dropout_0.1_testPeriod_1930_1940,1930,1939,20,5,relu,0.1,0.01,0.47602727357314367,0.7765301436474621
3-nci_L1_100_L2_10_dropout_0.2_testPeriod_1930_1940,1930,1939,100,10,linear,0.2,0.001,0.27287894923876677,0.548830929364159
3-nci_L1_50_L2_5_dropout_0.2_testPeriod_1930_1940,1930,1939,50,5,linear,0.2,0.01,0.17575273777117872,0.5308948593058561
3-nci_L1_100_L2_20_dropout_0.0_testPeriod_1932_1942,1932,1941,100,20,relu,0.0,0.05,0.3107319981610378,0.5888916461185635
3-nci_L1_100_L2_10_dropout_0.2_testPeriod_1932_1942,1932,1941,100,10,linear,0.2,0.001,0.5072478558449952,0.6024367339935743
3-nci_L1_100_L2_20_dropout_0.2_testPeriod_1934_1944,1934,1943,100,20,relu,0.2,0.01,0.5829893721896642,0.6135364196086439
3-nci_L1_20_L2_5_dropout_0.1_testPeriod_1934_1944,1934,1943,20,5,relu,0.1,0.01,0.4755603562781092,0.6778413065873807
3-nci_L1_100_L2_10_dropout_0.2_testPeriod_1934_1944,1934,1943,100,10,linear,0.2,0.001,0.5145613246513522,0.5535005131011669
3-nci_L1_50_L2_5_dropout_0.2_testPeriod_1934_1944,1934,1943,50,5,relu,0.2,0.01,0.4594725616480988,0.6860095008604082
3-nci_L1_100_L2_20_dropout_0.2_testPeriod_1936_1946,1936,1945,100,20,relu,0.2,0.01,0.15963922517029983,0.7148256364629727
3-nci_L1_100_L2_20_dropout_0.2_testPeriod_1936_1946,1936,1945,100,20,linear,0.2,0.01,0.22005029700067202,0.6730589470600634
3-nci_L1_20_L2_5_dropout_0.1_testPeriod_1936_1946,1936,1945,20,5,relu,0.1,0.01,0.6589841006405799,0.7356078273362969
3-nci_L1_50_L2_5_dropout_0.2_testPeriod_1936_1946,1936,1945,50,5,relu,0.2,0.01,0.18214612853238787,0.7102316073556277
