model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,relu,0.2,0.01,0.10067501920833855,0.4337417011613211
5-wpi_L1_20_L2_5_dropout_0.1_testPeriod_1916_1926,1916,1925,20,5,relu,0.1,0.01,0.3055897181403989,0.31099130813950787
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1916_1926,1916,1925,50,5,linear,0.2,0.01,0.2061424346760029,0.3260616483193999
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1916_1926,1916,1925,50,5,relu,0.2,0.01,0.22800222810240878,0.40181718027840385
5-wpi_L1_100_L2_20_dropout_0.0_testPeriod_1920_1930,1920,1929,100,20,relu,0.0,0.05,0.32876881804143554,0.3327065070185256
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1920_1930,1920,1929,50,5,relu,0.2,0.01,0.11834740428157298,0.41117405407784124
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1922_1932,1922,1931,100,20,relu,0.2,0.01,0.6315042347789516,0.6997811404484934
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1922_1932,1922,1931,50,5,linear,0.2,0.01,0.021655765606282684,0.593211342575276
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1924_1934,1924,1933,100,20,relu,0.2,0.01,0.31530559174559514,0.7024818454832443
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1924_1934,1924,1933,50,5,relu,0.2,0.01,0.5296780476114671,0.8587681114162364
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1928_1938,1928,1937,100,20,relu,0.2,0.01,0.14919184606599856,0.45258015544601005
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1930_1940,1930,1939,100,20,relu,0.2,0.01,0.4474886978741759,0.5601553382457195
5-wpi_L1_100_L2_20_dropout_0.0_testPeriod_1946_1956,1946,1955,100,20,relu,0.0,0.05,0.04990987833213101,0.3936523539261135
5-wpi_L1_100_L2_10_dropout_0.2_testPeriod_1948_1958,1948,1957,100,10,linear,0.2,0.001,0.24085936192992685,0.3591980287918591
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1948_1958,1948,1957,50,5,relu,0.2,0.01,0.08625856997247439,0.5590016306168759
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1950_1960,1950,1959,50,5,linear,0.2,0.01,0.1430168558021071,0.4639453365006495
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1952_1962,1952,1961,100,20,relu,0.2,0.01,0.3014283137108478,0.42319553305896723
5-wpi_L1_20_L2_5_dropout_0.1_testPeriod_1952_1962,1952,1961,20,5,relu,0.1,0.01,0.25543214956888893,0.3121821904512895
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1952_1962,1952,1961,50,5,relu,0.2,0.01,0.0425333256235545,0.3248483689918293
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1956_1966,1956,1965,100,20,relu,0.2,0.01,0.4381111842991614,0.598154856621966
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1956_1966,1956,1965,50,5,relu,0.2,0.01,0.40841392056080483,0.41930095852776744
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1958_1968,1958,1967,100,20,relu,0.2,0.01,0.3800530283210233,0.4111097077761998
5-wpi_L1_100_L2_20_dropout_0.0_testPeriod_1958_1968,1958,1967,100,20,relu,0.0,0.05,0.23858320291975588,0.40790419000875666
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,relu,0.2,0.01,0.34284645489851473,0.5074961792656213
5-wpi_L1_20_L2_5_dropout_0.1_testPeriod_1960_1970,1960,1969,20,5,relu,0.1,0.01,0.09814839678821263,0.3292227618162143
