model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,relu,0.2,0.01,-0.44589670378325974,0.34579642347351647
5-wpi_L1_100_L2_20_dropout_0.0_testPeriod_1902_1912,1902,1911,100,20,relu,0.0,0.05,-0.08118166442205421,0.17668151793464046
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,linear,0.2,0.01,-0.11992413446795425,0.050176994151540553
5-wpi_L1_20_L2_5_dropout_0.1_testPeriod_1902_1912,1902,1911,20,5,relu,0.1,0.01,-0.1093484417423698,0.04011610179901994
5-wpi_L1_100_L2_10_dropout_0.2_testPeriod_1902_1912,1902,1911,100,10,linear,0.2,0.001,-0.22210126071797087,0.12587311868361786
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,linear,0.2,0.01,-0.7889918413409538,0.10821028405647905
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,relu,0.2,0.01,-0.2056193986573931,0.0798481946575573
5-wpi_L1_100_L2_20_dropout_0.0_testPeriod_1904_1914,1904,1913,100,20,relu,0.0,0.05,-0.45865958812132557,0.08887917155073188
5-wpi_L1_50_L2_5_dropout_0.2_testPeriod_1904_1914,1904,1913,50,5,linear,0.2,0.01,-1.9803247727228999,0.00911082988447183
5-wpi_L1_20_L2_5_dropout_0.1_testPeriod_1906_1916,1906,1915,20,5,relu,0.1,0.01,-3.3765879157339667,0.1807510756485723
5-wpi_L1_20_L2_5_dropout_0.1_testPeriod_1908_1918,1908,1917,20,5,relu,0.1,0.01,-3.719945218917619,0.05195379436895001
5-wpi_L1_100_L2_20_dropout_0.0_testPeriod_1910_1920,1910,1919,100,20,relu,0.0,0.05,-3.4701076721712925,0.2894924923044987
5-wpi_L1_100_L2_20_dropout_0.2_testPeriod_1910_1920,1910,1919,100,20,linear,0.2,0.01,-7.575993720707652,0.26009900249159346
5-wpi_L1_20_L2_5_dropout_0.1_testPeriod_1910_1920,1910,1919,20,5,relu,0.1,0.01,-3.42407472447071,0.19132185405192154
5-wpi_L1_100_L2_10_dropout_0.2_testPeriod_1910_1920,1910,1919,100,10,linear,0.2,0.001,-0.8943727910986843,0.45040611663935387
