model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1928_1938,1928,1937,50,5,relu,0.2,0.01,-8.514013200504204,0.6219350163160633
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1930_1940,1930,1939,100,20,relu,0.2,0.01,-1.277924493938964,0.3508091802953125
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1930_1940,1930,1939,100,10,linear,0.2,0.001,-3.854069119353473,0.12443706408829586
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1930_1940,1930,1939,50,5,linear,0.2,0.01,-4.848184515519468,0.13735905436563886
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1932_1942,1932,1941,100,20,relu,0.2,0.01,-6.8835455465897395,0.6913279284353776
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1932_1942,1932,1941,100,20,relu,0.0,0.05,-7.661267005131572,0.07653718432960638
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1932_1942,1932,1941,100,10,linear,0.2,0.001,-9.910027400717356,0.24817417313116644
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1934_1944,1934,1943,100,10,linear,0.2,0.001,-4.940051457750305,0.20457802398417305
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1936_1946,1936,1945,20,5,relu,0.1,0.01,-0.09163187294089781,0.33146188622213235
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1938_1948,1938,1947,100,20,relu,0.0,0.05,0.004615946322063302,0.08083603927587481
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1938_1948,1938,1947,20,5,relu,0.1,0.01,0.06924470020815598,0.14016219843876357
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1940_1950,1940,1949,100,20,relu,0.2,0.01,-1.11415112400829,0.04664168097253326
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1940_1950,1940,1949,100,20,linear,0.2,0.01,-0.40716337992935414,0.06239329859754383
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1940_1950,1940,1949,100,10,linear,0.2,0.001,0.029889457041309853,0.5488942417229231
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1942_1952,1942,1951,100,20,relu,0.2,0.01,-0.8307026873623609,0.12670977424394936
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1942_1952,1942,1951,100,20,relu,0.0,0.05,-0.44688777527339507,0.039915921552508477
