model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,relu,0.2,0.01,-1.0498000703073749,0.13162115058232607
IMD_L1_100_L2_20_dropout_0.0_testPeriod_1902_1912,1902,1911,100,20,relu,0.0,0.05,-0.4423600097215341,0.016444284230198662
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1902_1912,1902,1911,100,20,linear,0.2,0.01,-2.677699274356488,0.07868312703658213
IMD_L1_20_L2_5_dropout_0.1_testPeriod_1902_1912,1902,1911,20,5,relu,0.1,0.01,-0.5557146428922999,0.08834835582918517
IMD_L1_100_L2_10_dropout_0.2_testPeriod_1902_1912,1902,1911,100,10,linear,0.2,0.001,-0.5594426317757297,0.1534908847486651
IMD_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,linear,0.2,0.01,-3.8112775761228415,0.1097449898271521
IMD_L1_50_L2_5_dropout_0.2_testPeriod_1902_1912,1902,1911,50,5,relu,0.2,0.01,-0.14487619373806115,0.29643755516730025
IMD_L1_100_L2_20_dropout_0.2_testPeriod_1904_1914,1904,1913,100,20,relu,0.2,0.01,-0.15399286959173297,0.031214437642941077
IMD_L1_20_L2_5_dropout_0.1_testPeriod_1904_1914,1904,1913,20,5,relu,0.1,0.01,-0.13728839396822035,0.09188643481706629
IMD_L1_100_L2_10_dropout_0.2_testPeriod_1904_1914,1904,1913,100,10,linear,0.2,0.001,-0.10190017569731014,0.10105824123299986
IMD_L1_20_L2_5_dropout_0.1_testPeriod_1906_1916,1906,1915,20,5,relu,0.1,0.01,-1.0949259716401092,0.05081178267659026
IMD_L1_50_L2_5_dropout_0.2_testPeriod_1906_1916,1906,1915,50,5,relu,0.2,0.01,-1.681841730563213,0.01215523135070732
