paleoData_TSid,datasetName,archiveType,geo_meanLon,geo_meanLat,geo_siteName,pub1_dataUrl,resolution
CO13CAHN01A,,Coral,-86.9508,16.0644,"Diamond Caye, Utila, Honduras",https://www.ncdc.noaa.gov/cdo/f?p=519:1:0::::P1_STUDY_ID:17378,0.13273453093812376
CO13CAHN02A,,Coral,-86.9508,16.0644,"Diamond Caye, Utila, Honduras",https://www.ncdc.noaa.gov/cdo/f?p=519:1:0::::P1_STUDY_ID:17378,0.13309148264984244
Ocean2kHR_171,,Coral,124.833,-1.5,Bunaken Island,doi.org,0.08333120612635604
WEB0738fe31,,Wood,79.85,29.633,Jageshwar,,1.0025906735751295
IC10VISA01B,,GlacierIce,-35.82,70.63,Site A,,1.0
IC10VISA01A,,GlacierIce,-35.82,70.63,Site A,,1.0
IC10NAB501A,,GlacierIce,11.59,-71.34,IND 25B5 Coastal DML,,0.07958333333333341
CO14CABT01B,,Coral,172.7469,3.0731,"Butaritari Atoll, Gilbert Islands",https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:17289,0.16666666666666666
CO14CABT01B2,,Coral,172.7469,3.0731,"Butaritari Atoll, Gilbert Islands",https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:17289,0.16666666666666666
CO14CABT01A,,Coral,172.7469,3.0731,"Butaritari Atoll, Gilbert Islands",https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:17289,0.16666666666666666
IC82STVE01A,,GlacierIce,10.8256,46.8842,Vernagtferner VF79_core1,,1.0
IC82STVE01B,,GlacierIce,10.8256,46.8842,Vernagtferner VF79_core1,,1.0
IC82STVE01C,,GlacierIce,10.8256,46.8842,Vernagtferner VF79_core1,,1.0
MS11CSCN01b,,MarineSediment,-76.32,32.98,Carolina Slope North,https://www.ncdc.noaa.gov/cdo/f?p=519:1:1626287132058201::::P1_STUDY_ID:11816,24.875
LPD96499b34s,,MarineSediment,-76.32,32.98,Carolina Slope North,https://www.ncdc.noaa.gov/cdo/f?p=519:1:1626287132058201::::P1_STUDY_ID:11816,24.49230769230769
